asvLen	totReads	numSamps
ASV.535	140	14	2
ASV.536	328	13	1
ASV.537	35	13	2
ASV.538	140	13	2
ASV.539	184	13	2
ASV.540	364	13	1
ASV.541	76	13	3
ASV.542	88	13	1
ASV.543	81	13	2
ASV.544	47	13	1
ASV.545	328	13	1
ASV.546	47	13	3
ASV.547	166	13	2
ASV.549	76	13	1
ASV.550	145	13	1
ASV.551	173	13	1
ASV.552	151	13	2
ASV.553	123	13	1
ASV.554	334	13	1
ASV.555	328	13	1
ASV.556	140	12	1
ASV.558	328	12	1
ASV.559	40	12	1
ASV.560	79	12	2
ASV.562	75	12	3
ASV.564	295	12	2
ASV.565	141	12	2
ASV.566	73	12	3
ASV.567	194	12	1
ASV.568	107	12	2
ASV.569	331	12	1
ASV.570	118	12	1
ASV.571	158	12	1
ASV.572	248	12	1
ASV.573	171	12	1
ASV.576	52	11	1
ASV.577	74	11	3
ASV.579	328	11	1
ASV.580	175	11	3
ASV.581	59	11	1
ASV.582	295	11	2
ASV.583	211	11	1
ASV.584	328	11	1
ASV.586	94	11	1
ASV.589	40	11	3
ASV.590	210	11	1
ASV.591	148	10	2
ASV.592	43	10	1
ASV.593	53	10	1
ASV.596	224	10	1
ASV.597	70	10	1
ASV.598	60	10	2
ASV.599	489	10	1
ASV.600	78	10	4
ASV.603	35	10	1
ASV.604	55	10	1
ASV.605	126	10	1
ASV.606	43	9	2
ASV.607	58	9	3
ASV.608	69	9	2
ASV.610	91	9	2
ASV.611	91	9	2
ASV.612	70	9	2
ASV.613	49	9	2
ASV.614	201	9	2
ASV.617	193	9	2
ASV.620	119	9	1
ASV.622	293	9	1
ASV.623	88	9	1
ASV.624	94	9	2
ASV.625	48	9	1
ASV.626	148	8	2
ASV.627	154	8	1
ASV.628	109	8	1
ASV.629	90	8	2
ASV.630	88	8	1
ASV.632	198	8	1
ASV.633	137	8	1
ASV.635	99	8	1
ASV.636	161	8	1
ASV.638	208	8	2
ASV.640	38	8	1
ASV.641	117	8	2
ASV.642	172	8	1
ASV.643	148	8	1
ASV.644	163	8	1
ASV.646	50	8	1
ASV.649	49	7	2
ASV.650	145	7	1
ASV.652	111	7	2
ASV.653	97	7	2
ASV.654	247	7	1
ASV.656	119	7	1
ASV.657	151	7	1
ASV.658	37	7	1
ASV.659	314	7	1
ASV.660	33	7	1
ASV.661	78	7	2
ASV.662	195	7	1
ASV.663	66	7	1
ASV.664	69	7	2
ASV.665	87	7	2
ASV.666	99	7	1
ASV.670	109	7	1
ASV.671	146	6	1
ASV.672	178	6	1
ASV.673	186	6	1
ASV.674	104	6	1
ASV.675	85	6	1
ASV.676	139	6	1
ASV.677	73	6	2
ASV.678	190	6	2
ASV.679	148	6	1
ASV.680	147	6	1
ASV.681	144	6	1
ASV.682	88	6	1
ASV.683	181	6	1
ASV.685	214	6	1
ASV.686	46	6	1
ASV.687	322	6	1
ASV.688	145	6	1
ASV.689	135	6	1
ASV.690	94	6	1
ASV.691	57	6	1
ASV.692	58	6	1
ASV.693	46	6	1
ASV.694	149	6	1
ASV.695	219	6	1
ASV.696	128	6	1
ASV.697	109	6	1
ASV.699	118	6	1
ASV.700	70	5	2
ASV.701	199	5	1
ASV.702	105	5	1
ASV.703	55	5	1
ASV.704	178	5	1
ASV.705	294	5	1
ASV.706	172	5	1
ASV.708	76	5	1
ASV.709	57	5	1
ASV.710	134	5	1
ASV.711	84	5	1
ASV.713	88	5	1
ASV.714	55	5	1
ASV.715	125	5	1
ASV.716	90	5	1
ASV.717	295	5	1
ASV.718	113	5	1
ASV.719	83	5	1
ASV.720	106	5	1
ASV.721	54	5	1
ASV.723	80	5	1
ASV.725	212	5	1
ASV.726	122	5	1
ASV.727	97	5	1
ASV.728	92	5	1
ASV.729	175	5	1
ASV.730	71	5	1
ASV.731	97	5	1
ASV.732	169	5	1
ASV.733	54	5	1
ASV.734	63	5	1
ASV.735	130	5	1
ASV.736	140	5	1
ASV.737	65	5	1
ASV.738	111	5	1
ASV.739	89	5	1
ASV.740	48	5	1
ASV.742	89	4	1
ASV.743	68	4	1
ASV.744	154	4	1
ASV.745	100	4	1
ASV.746	44	4	1
ASV.747	43	4	1
ASV.748	104	4	1
ASV.749	184	4	1
ASV.750	96	4	2
ASV.751	139	4	1
ASV.752	71	4	1
ASV.753	154	4	1
ASV.754	81	4	1
ASV.755	172	4	1
ASV.756	46	4	1
ASV.757	106	4	1
ASV.758	75	4	1
ASV.759	155	4	1
ASV.760	59	4	1
ASV.761	60	4	1
ASV.762	64	4	1
ASV.763	36	4	1
ASV.764	161	4	1
ASV.765	121	4	1
ASV.766	176	4	1
ASV.767	97	4	1
ASV.769	87	4	1
ASV.770	190	4	1
ASV.771	202	4	1
ASV.772	103	4	1
ASV.773	135	4	1
ASV.774	92	4	1
ASV.775	335	4	1
ASV.776	81	4	1
ASV.778	136	4	1
ASV.780	86	4	1
ASV.781	180	4	1
ASV.783	138	4	1
ASV.784	42	4	1
ASV.785	77	4	1
ASV.787	164	4	1
ASV.788	57	4	1
ASV.789	128	4	1
ASV.790	152	4	1
ASV.791	139	4	1
ASV.792	76	4	1
ASV.793	121	4	1
ASV.794	171	4	1
ASV.795	191	4	1
ASV.796	44	4	1
ASV.797	135	4	1
ASV.798	63	4	1
ASV.799	83	4	1
ASV.800	76	4	1
ASV.802	133	3	1
ASV.803	220	3	1
ASV.804	164	3	1
ASV.805	96	3	1
ASV.806	68	3	1
ASV.807	71	3	1
ASV.808	52	3	1
ASV.809	50	3	1
ASV.810	238	3	1
ASV.812	144	3	1
ASV.813	126	3	1
ASV.814	127	3	1
ASV.815	70	3	1
ASV.816	123	3	1
ASV.817	76	3	1
ASV.818	128	3	1
ASV.819	46	3	1
ASV.820	105	3	1
ASV.823	118	3	1
ASV.824	115	3	1
ASV.825	91	3	1
ASV.826	77	3	1
ASV.827	71	3	1
ASV.828	48	3	1
ASV.829	196	3	1
ASV.830	170	3	1
ASV.831	91	3	1
ASV.832	364	3	1
ASV.833	79	3	1
ASV.834	96	3	1
ASV.835	92	3	1
ASV.836	73	3	1
ASV.837	99	3	1
ASV.838	86	3	1
ASV.839	91	3	1
ASV.840	92	3	1
ASV.841	179	3	1
ASV.842	54	3	1
ASV.843	148	3	1
ASV.844	69	3	1
ASV.845	127	3	1
ASV.846	52	3	1
ASV.847	283	3	1
ASV.848	53	3	1
ASV.849	91	3	1
ASV.850	133	3	1
ASV.851	129	3	1
ASV.853	92	3	1
ASV.854	77	3	1
ASV.855	74	3	1
ASV.856	63	3	1
ASV.857	59	3	1
ASV.858	213	3	1
ASV.859	109	3	1
ASV.860	61	3	1
ASV.861	85	3	1
ASV.862	117	3	1
ASV.863	113	3	1
ASV.864	88	3	1
ASV.865	184	3	1
ASV.866	49	3	1
ASV.867	86	3	1
ASV.868	184	3	1
ASV.869	130	3	1
ASV.870	61	3	1
ASV.871	96	3	1
ASV.872	72	3	1
ASV.873	89	3	1
ASV.874	50	3	1
ASV.876	140	3	1
ASV.877	153	3	1
ASV.878	172	3	1
ASV.879	59	3	1
ASV.880	105	3	1
ASV.881	151	3	1
ASV.882	54	3	1
ASV.883	121	3	1
ASV.884	133	3	1
ASV.885	71	3	1
ASV.886	56	3	1
ASV.888	107	2	1
ASV.889	60	2	1
ASV.890	130	2	1
ASV.892	81	2	1
ASV.893	87	2	1
ASV.894	114	2	1
ASV.895	165	2	1
ASV.896	62	2	1
ASV.897	190	2	1
ASV.898	84	2	1
ASV.899	82	2	1
ASV.900	147	2	1
ASV.901	116	2	1
ASV.902	103	2	1
ASV.903	102	2	1
ASV.904	109	2	1
ASV.905	135	2	1
ASV.906	295	2	1
ASV.907	57	2	1
ASV.908	198	2	1
ASV.909	61	2	1
ASV.910	73	2	1
ASV.911	69	2	1
ASV.912	202	2	1
ASV.913	70	2	1
ASV.914	78	2	1
ASV.915	56	2	1
ASV.916	88	2	1
ASV.917	98	2	1
ASV.918	74	2	1
ASV.919	94	2	1
ASV.920	88	2	1
ASV.921	75	2	1
ASV.922	87	2	1
ASV.923	88	2	1
ASV.925	122	2	1
ASV.926	86	2	1
ASV.927	196	2	1
ASV.928	133	2	1
ASV.929	62	2	1
ASV.930	47	2	1
ASV.931	127	2	1
ASV.932	211	2	1
ASV.933	66	2	1
ASV.934	81	2	1
ASV.935	151	2	1
ASV.936	113	2	1
ASV.937	89	2	1
ASV.938	178	2	1
ASV.939	65	2	1
ASV.940	64	2	1
ASV.941	159	2	1
ASV.942	66	2	1
ASV.943	49	2	1
ASV.944	112	2	1
ASV.945	75	2	1
ASV.946	77	2	1
ASV.947	175	2	1
ASV.948	109	2	1
ASV.949	106	2	1
ASV.950	168	2	1
ASV.951	137	2	1
ASV.952	42	2	1
ASV.953	45	2	1
ASV.954	104	2	1
ASV.955	76	2	1
ASV.956	103	2	1
ASV.957	67	2	1
ASV.958	60	2	1
ASV.959	79	2	1
ASV.960	77	2	1
ASV.961	97	2	1
ASV.962	65	2	1
ASV.963	76	2	1
ASV.964	151	2	1
ASV.965	85	2	1
ASV.966	112	2	1
ASV.967	196	2	1
ASV.968	85	2	1
ASV.969	97	2	1
ASV.970	64	2	1
ASV.971	133	2	1
ASV.972	87	2	1
ASV.973	79	2	1
ASV.974	120	2	1
ASV.975	72	2	1
ASV.976	67	2	1
ASV.977	56	2	1
ASV.978	73	2	1
ASV.979	49	2	1
ASV.980	105	2	1
ASV.981	67	2	1
ASV.982	60	2	1
ASV.983	66	2	1
ASV.985	145	2	1
ASV.986	76	2	1
ASV.987	88	2	1
ASV.988	91	2	1
ASV.989	61	2	1
ASV.990	203	2	1
ASV.991	141	2	1
ASV.992	61	2	1
ASV.993	68	2	1
ASV.994	172	2	1
ASV.995	65	2	1
ASV.996	126	2	1
ASV.997	102	2	1
ASV.999	62	2	1
ASV.1000	161	2	1
ASV.1001	79	2	1
ASV.1002	98	2	1
ASV.1003	46	2	1
