asvLen	totReads	numSamps
ASV.402	121	194	4
ASV.403	58	194	5
ASV.404	88	194	5
ASV.405	328	193	1
ASV.406	141	192	2
ASV.409	364	191	1
ASV.410	295	187	2
ASV.411	274	187	1
ASV.412	139	185	1
ASV.413	194	185	4
ASV.415	328	183	1
ASV.418	328	182	1
ASV.419	129	181	3
ASV.420	46	180	6
ASV.421	259	180	2
ASV.422	328	180	2
ASV.423	328	179	1
ASV.424	187	179	6
ASV.425	328	178	1
ASV.426	328	178	2
ASV.429	184	176	2
ASV.430	64	176	6
ASV.432	371	176	3
ASV.433	328	176	1
ASV.434	341	173	3
ASV.435	328	171	1
ASV.437	328	171	1
ASV.438	328	170	1
ASV.439	328	169	1
ASV.440	146	168	4
ASV.441	88	168	5
ASV.442	119	166	7
ASV.444	328	165	1
ASV.445	107	165	11
ASV.446	328	163	1
ASV.447	184	162	2
ASV.449	328	160	1
ASV.450	328	160	1
ASV.451	328	159	1
ASV.452	328	159	1
ASV.453	328	157	1
ASV.454	163	157	2
ASV.455	221	156	3
ASV.456	328	156	1
ASV.457	328	155	2
ASV.458	328	155	1
ASV.459	328	155	1
ASV.460	108	155	3
ASV.461	328	155	1
ASV.462	328	155	1
ASV.463	328	154	1
ASV.464	211	154	1
ASV.465	60	153	2
ASV.466	230	153	3
ASV.468	328	152	1
ASV.469	90	152	7
ASV.470	328	151	1
ASV.473	328	147	1
ASV.474	328	147	1
ASV.476	200	146	2
ASV.477	328	146	1
ASV.478	181	145	3
ASV.479	328	145	1
ASV.481	100	144	3
ASV.482	371	144	2
ASV.484	328	143	1
ASV.485	78	143	3
ASV.486	337	143	2
ASV.487	250	140	1
ASV.488	46	140	5
ASV.489	259	139	1
ASV.490	112	139	2
ASV.492	280	137	9
ASV.494	328	137	2
ASV.496	328	136	1
ASV.497	46	134	8
ASV.498	328	134	1
ASV.499	230	134	3
ASV.500	328	134	1
ASV.501	172	132	3
ASV.504	221	130	3
ASV.505	135	129	1
ASV.506	328	129	1
ASV.507	100	128	5
ASV.510	328	127	1
ASV.511	328	127	1
ASV.513	151	125	3
ASV.514	328	123	1
ASV.515	328	123	1
ASV.516	328	122	1
ASV.517	328	122	1
