Harding138-63181_S138	Harding140-63189_S140	Harding142-63191_S142	Harding144-63201_S144	Harding146-63211_S146	Harding148-63217_S148	Harding150-63221_S150	Harding152-63235_S152	Harding154-63243_S154	Harding157-64171_S157	Harding159-64179_S159	Harding162-64203_S162	Harding164-64211_S164	Harding166-64219_S166	Harding168-64227_S168	Harding170-64235_S170	Harding171-64243_S171	Harding172-64259_S172	Harding173-64267_S173	Harding175-64283_S175	Harding178-64299_S178	Harding180-64307_S180	Harding182-65458_S182	Harding184-65466_S184	Harding186-65474_S186	Harding189-65490_S189	Harding191-65510_S191	Harding194-65532_S194	Harding196-65546_S196	Harding198-65548_S198	Harding199-65556_S199	Harding201-65567_S201	Harding203-65575_S203	Harding205-65583_S205	Harding207-65591_S207	Harding210-65607_S210	Harding212-65639_S212	Harding214-65647_S214	Harding222-66631_S222	Harding223-66672_S223	Harding225-66680_S225	Harding228-66697_S228	Harding230-66706_S230
ASV.25	0	602	199	0	54	657	13	251	104	0	0	0	29	0	31	195	0	0	0	0	40	11	179	2445	0	0	0	325	71	11	0	0	0	144	257	0	13	54	0	35	0	0	0
ASV.26	2630	0	0	0	573	0	0	1018	0	10	105	214	13	0	794	0	17	0	0	0	0	0	41	0	0	9	7	0	0	13	0	79	22	0	0	0	0	0	0	0	0	34	0
ASV.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	104	0	236	0	0	0	0	0	69	0	0	0	0	0	3913
ASV.28	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	0	0	3085	0	869	0	383	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.29	0	0	4709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4496	0	0
ASV.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.32	39	0	16	0	422	0	0	133	14	0	0	392	190	0	220	74	0	7	0	13	222	23	593	13	21	353	234	36	0	87	0	320	350	138	19	21	0	0	73	14	86	194	15
ASV.33	0	0	0	0	0	0	0	0	1839	1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.34	0	0	0	0	0	0	492	0	488	464	0	0	353	226	0	0	0	0	0	0	1150	0	0	0	285	337	0	0	0	0	0	0	0	0	0	164	0	241	0	0	0	0	0
ASV.35	0	0	613	0	1398	0	0	642	0	0	0	208	209	0	124	234	0	0	10	0	0	0	155	0	0	0	0	201	0	0	0	0	0	309	0	0	0	0	0	47	0	0	0
