SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.158	20	16	7	0	0	0	0
ASV.159	0	0	0	42	0	0	0
ASV.160	0	0	0	28	0	8	6
ASV.161	0	0	0	0	0	13	29
ASV.162	0	0	0	5	36	0	0
ASV.163	0	0	0	9	0	15	17
ASV.167	0	0	0	18	21	0	0
ASV.168	0	38	0	0	0	0	0
ASV.169	0	0	0	0	38	0	0
ASV.170	0	0	0	0	38	0	0
ASV.171	10	6	8	0	0	7	6
ASV.172	26	0	11	0	0	0	0
ASV.174	0	0	0	0	7	0	30
ASV.175	0	0	0	0	0	37	0
ASV.177	0	36	0	0	0	0	0
ASV.178	0	36	0	0	0	0	0
ASV.179	0	0	0	4	0	19	13
ASV.180	0	0	0	10	23	0	3
ASV.181	0	0	0	0	0	0	36
ASV.182	0	0	0	0	35	0	0
ASV.183	11	11	12	0	0	0	0
ASV.184	0	0	0	20	0	14	0
ASV.185	0	0	0	0	0	0	34
ASV.187	0	0	0	29	0	4	0
ASV.188	0	0	0	0	0	14	19
ASV.189	0	0	32	0	0	0	0
ASV.190	0	0	0	0	32	0	0
ASV.191	0	0	0	0	0	15	17
ASV.192	0	16	15	0	0	0	0
ASV.193	0	0	0	5	26	0	0
ASV.194	0	0	0	19	12	0	0
ASV.196	30	0	0	0	0	0	0
ASV.197	0	11	0	0	10	2	7
ASV.198	0	0	0	14	16	0	0
ASV.199	16	13	0	0	0	0	0
ASV.200	8	8	13	0	0	0	0
ASV.201	0	0	0	29	0	0	0
ASV.202	0	0	0	29	0	0	0
ASV.203	0	0	0	29	0	0	0
ASV.204	0	0	0	29	0	0	0
ASV.205	0	0	0	0	23	6	0
ASV.206	0	0	0	0	0	29	0
ASV.207	7	0	21	0	0	0	0
ASV.208	5	0	23	0	0	0	0
ASV.210	0	0	0	28	0	0	0
ASV.212	0	0	0	0	0	28	0
ASV.213	0	27	0	0	0	0	0
ASV.215	0	0	0	10	5	7	5
ASV.216	0	0	0	27	0	0	0
ASV.217	0	0	0	27	0	0	0
ASV.218	0	0	0	9	11	0	7
ASV.221	0	0	0	0	0	27	0
ASV.222	0	0	0	0	0	27	0
ASV.223	4	15	7	0	0	0	0
ASV.224	6	11	9	0	0	0	0
ASV.225	0	0	15	0	0	11	0
ASV.226	0	0	0	18	8	0	0
ASV.227	0	0	0	26	0	0	0
ASV.229	0	0	0	0	26	0	0
ASV.231	0	0	0	0	0	26	0
ASV.232	0	0	0	25	0	0	0
ASV.234	0	0	0	0	19	6	0
ASV.235	0	0	0	0	25	0	0
ASV.236	0	0	0	0	25	0	0
ASV.237	0	0	0	0	25	0	0
ASV.238	8	16	0	0	0	0	0
ASV.239	0	24	0	0	0	0	0
ASV.240	0	0	0	18	0	0	6
ASV.241	0	0	0	0	24	0	0
ASV.242	0	0	0	0	24	0	0
ASV.243	0	0	0	0	0	24	0
ASV.244	0	0	0	0	0	0	24
ASV.245	0	19	4	0	0	0	0
ASV.246	0	23	0	0	0	0	0
ASV.247	0	0	0	23	0	0	0
ASV.248	0	0	0	23	0	0	0
ASV.249	0	0	0	23	0	0	0
ASV.250	0	0	0	6	17	0	0
ASV.251	0	0	0	23	0	0	0
ASV.252	0	0	0	0	15	4	4
ASV.253	0	0	0	0	0	23	0
ASV.254	0	22	0	0	0	0	0
ASV.255	0	0	0	0	22	0	0
ASV.256	0	0	0	0	22	0	0
ASV.257	0	0	0	0	0	22	0
ASV.258	0	0	0	0	0	22	0
ASV.259	0	0	0	21	0	0	0
ASV.260	0	0	0	8	8	5	0
ASV.261	20	0	0	0	0	0	0
ASV.262	0	20	0	0	0	0	0
ASV.263	0	0	0	20	0	0	0
ASV.264	0	0	0	11	0	9	0
ASV.266	0	0	0	0	20	0	0
ASV.267	0	0	0	0	0	0	20
ASV.268	0	0	0	0	0	0	20
ASV.269	9	10	0	0	0	0	0
ASV.270	0	11	8	0	0	0	0
ASV.271	0	0	0	19	0	0	0
ASV.272	0	0	0	13	0	3	3
ASV.274	0	0	0	0	0	10	9
ASV.275	11	5	2	0	0	0	0
ASV.276	0	18	0	0	0	0	0
ASV.277	0	0	18	0	0	0	0
ASV.278	0	0	0	18	0	0	0
ASV.279	0	0	0	18	0	0	0
ASV.281	0	0	0	0	11	0	7
ASV.282	0	0	0	0	18	0	0
