#Source	Type	SizeFrac	SampName
RawFastqs/SRR15563498_R2.fastq.gz	DNA	Frac_0.2	SRR15563498
RawFastqs/SRR15563499_R1.fastq.gz	DNA	Frac_0.2	SRR15563499
RawFastqs/SRR15563499_R2.fastq.gz	DNA	Frac_0.2	SRR15563499
RawFastqs/SRR15563500_R1.fastq.gz	DNA	Frac_0.2	SRR15563500
RawFastqs/SRR15563500_R2.fastq.gz	DNA	Frac_0.2	SRR15563500
RawFastqs/SRR15563501_R1.fastq.gz	DNA	Frac_0.2	SRR15563501
RawFastqs/SRR15563501_R2.fastq.gz	DNA	Frac_0.2	SRR15563501
RawFastqs/SRR15563502_R1.fastq.gz	DNA	Frac_0.2	SRR15563502
RawFastqs/SRR15563502_R2.fastq.gz	DNA	Frac_0.2	SRR15563502
RawFastqs/SRR15563679_R1.fastq.gz	DNA	Frac_0.2	SRR15563679
RawFastqs/SRR15563679_R2.fastq.gz	DNA	Frac_0.2	SRR15563679
RawFastqs/SRR15563680_R1.fastq.gz	DNA	Frac_0.2	SRR15563680
RawFastqs/SRR15563680_R2.fastq.gz	DNA	Frac_0.2	SRR15563680
RawFastqs/SRR15563681_R1.fastq.gz	DNA	Frac_0.2	SRR15563681
RawFastqs/SRR15563681_R2.fastq.gz	DNA	Frac_0.2	SRR15563681
RawFastqs/SRR15563682_R1.fastq.gz	DNA	Frac_0.2	SRR15563682
RawFastqs/SRR15563682_R2.fastq.gz	DNA	Frac_0.2	SRR15563682
RawFastqs/SRR15563683_R1.fastq.gz	DNA	Frac_0.2	SRR15563683
RawFastqs/SRR15563683_R2.fastq.gz	DNA	Frac_0.2	SRR15563683
RawFastqs/SRR15563684_R1.fastq.gz	DNA	Frac_0.2	SRR15563684
RawFastqs/SRR15563684_R2.fastq.gz	DNA	Frac_0.2	SRR15563684
RawFastqs/SRR15563685_R1.fastq.gz	DNA	Frac_0.2	SRR15563685
RawFastqs/SRR15563685_R2.fastq.gz	DNA	Frac_0.2	SRR15563685
RawFastqs/SRR15563686_R1.fastq.gz	DNA	Frac_0.2	SRR15563686
RawFastqs/SRR15563686_R2.fastq.gz	DNA	Frac_0.2	SRR15563686
RawFastqs/SRR15563687_R1.fastq.gz	DNA	Frac_0.2	SRR15563687
RawFastqs/SRR15563687_R2.fastq.gz	DNA	Frac_0.2	SRR15563687
RawFastqs/SRR15563688_R1.fastq.gz	DNA	Frac_0.2	SRR15563688
RawFastqs/SRR15563688_R2.fastq.gz	DNA	Frac_0.2	SRR15563688
RawFastqs/SRR15563689_R1.fastq.gz	DNA	Frac_0.2	SRR15563689
RawFastqs/SRR15563689_R2.fastq.gz	DNA	Frac_0.2	SRR15563689
RawFastqs/SRR15563690_R1.fastq.gz	DNA	Frac_0.2	SRR15563690
RawFastqs/SRR15563690_R2.fastq.gz	DNA	Frac_0.2	SRR15563690
RawFastqs/SRR15563691_R1.fastq.gz	DNA	Frac_0.2	SRR15563691
RawFastqs/SRR15563691_R2.fastq.gz	DNA	Frac_0.2	SRR15563691
RawFastqs/SRR15563692_R1.fastq.gz	DNA	Frac_0.2	SRR15563692
