SRR13612812	SRR13612813	SRR13612814	SRR13612912	SRR13612913	SRR13612914	SRR13612915
ASV.454	0	0	0	18	0	0	0
ASV.455	0	0	0	18	0	0	0
ASV.456	0	0	0	0	10	8	0
ASV.457	0	0	0	0	0	18	0
ASV.459	0	0	0	0	0	18	0
ASV.460	15	2	0	0	0	0	0
ASV.461	8	0	9	0	0	0	0
ASV.463	12	5	0	0	0	0	0
ASV.464	0	8	9	0	0	0	0
ASV.465	0	17	0	0	0	0	0
ASV.466	0	5	4	0	8	0	0
ASV.468	0	0	0	17	0	0	0
ASV.469	0	0	0	17	0	0	0
ASV.470	0	0	0	17	0	0	0
ASV.471	0	0	0	17	0	0	0
ASV.472	0	0	0	17	0	0	0
ASV.474	0	0	0	0	17	0	0
ASV.475	0	0	0	0	17	0	0
ASV.477	0	0	0	0	0	17	0
ASV.479	0	0	0	0	0	0	17
ASV.480	2	4	7	0	3	0	0
ASV.481	16	0	0	0	0	0	0
ASV.482	16	0	0	0	0	0	0
ASV.484	0	16	0	0	0	0	0
ASV.485	0	11	5	0	0	0	0
ASV.486	0	16	0	0	0	0	0
ASV.487	0	16	0	0	0	0	0
ASV.488	0	4	12	0	0	0	0
ASV.489	0	0	16	0	0	0	0
ASV.490	0	0	16	0	0	0	0
ASV.491	0	0	16	0	0	0	0
ASV.492	0	0	0	16	0	0	0
ASV.493	0	0	0	9	7	0	0
ASV.494	0	0	0	16	0	0	0
ASV.495	0	0	0	16	0	0	0
ASV.496	0	0	0	16	0	0	0
ASV.497	0	0	0	0	16	0	0
ASV.498	0	0	0	0	16	0	0
ASV.499	0	0	0	0	16	0	0
ASV.500	0	0	0	0	16	0	0
ASV.501	0	0	0	0	16	0	0
ASV.502	0	0	0	0	0	16	0
ASV.503	0	0	0	0	0	16	0
ASV.504	0	0	0	0	0	16	0
ASV.506	0	0	0	0	0	16	0
ASV.507	0	0	0	0	0	0	16
ASV.508	7	0	0	0	0	8	0
ASV.509	15	0	0	0	0	0	0
ASV.510	15	0	0	0	0	0	0
ASV.511	6	0	9	0	0	0	0
ASV.512	15	0	0	0	0	0	0
ASV.513	0	6	4	0	0	5	0
ASV.514	0	15	0	0	0	0	0
ASV.515	0	15	0	0	0	0	0
ASV.516	0	7	8	0	0	0	0
ASV.517	0	5	10	0	0	0	0
ASV.518	0	6	9	0	0	0	0
ASV.519	0	15	0	0	0	0	0
ASV.520	0	0	15	0	0	0	0
ASV.521	0	0	15	0	0	0	0
ASV.523	0	0	0	15	0	0	0
ASV.524	0	0	0	15	0	0	0
ASV.525	0	0	0	0	15	0	0
ASV.526	0	0	0	0	15	0	0
ASV.527	0	0	0	0	15	0	0
ASV.528	0	0	0	0	0	15	0
ASV.530	0	0	0	0	0	15	0
ASV.531	0	0	0	0	0	15	0
ASV.532	0	0	0	0	0	15	0
ASV.534	14	0	0	0	0	0	0
ASV.535	2	3	9	0	0	0	0
ASV.536	14	0	0	0	0	0	0
ASV.537	14	0	0	0	0	0	0
ASV.538	14	0	0	0	0	0	0
ASV.539	10	0	4	0	0	0	0
ASV.540	7	0	0	0	0	7	0
ASV.541	0	14	0	0	0	0	0
ASV.542	0	14	0	0	0	0	0
ASV.543	0	3	11	0	0	0	0
ASV.544	0	9	5	0	0	0	0
ASV.545	0	0	14	0	0	0	0
ASV.547	0	0	14	0	0	0	0
ASV.548	0	0	0	14	0	0	0
ASV.551	0	0	0	14	0	0	0
ASV.552	0	0	0	14	0	0	0
ASV.553	0	0	0	14	0	0	0
ASV.555	0	0	0	14	0	0	0
ASV.557	0	0	0	14	0	0	0
ASV.558	0	0	0	0	7	7	0
ASV.559	0	0	0	0	14	0	0
ASV.560	0	0	0	0	14	0	0
ASV.561	0	0	0	0	14	0	0
ASV.562	0	0	0	0	0	14	0
ASV.563	0	0	0	0	0	14	0
ASV.564	0	0	0	0	0	14	0
ASV.566	0	0	0	0	0	0	14
ASV.567	13	0	0	0	0	0	0
ASV.568	6	7	0	0	0	0	0
ASV.569	13	0	0	0	0	0	0
ASV.570	13	0	0	0	0	0	0
ASV.571	13	0	0	0	0	0	0
ASV.572	13	0	0	0	0	0	0
ASV.574	0	5	8	0	0	0	0
ASV.575	0	3	10	0	0	0	0
ASV.576	0	13	0	0	0	0	0
ASV.577	0	0	13	0	0	0	0
ASV.578	0	0	13	0	0	0	0
ASV.579	0	0	13	0	0	0	0
ASV.580	0	0	13	0	0	0	0
ASV.581	0	0	0	13	0	0	0
ASV.582	0	0	0	13	0	0	0
ASV.585	0	0	0	13	0	0	0
ASV.586	0	0	0	13	0	0	0
ASV.587	0	0	0	0	13	0	0
ASV.588	0	0	0	0	13	0	0
ASV.589	0	0	0	0	13	0	0
ASV.591	0	0	0	0	0	13	0
ASV.592	0	0	0	0	0	13	0
ASV.593	0	0	0	0	0	13	0
ASV.594	0	0	0	0	0	13	0
ASV.595	0	0	0	0	0	0	13
ASV.596	0	0	0	0	0	0	13
ASV.597	0	0	0	0	0	0	13
ASV.598	12	0	0	0	0	0	0
ASV.599	12	0	0	0	0	0	0
ASV.601	0	12	0	0	0	0	0
ASV.602	0	6	6	0	0	0	0
ASV.603	0	12	0	0	0	0	0
ASV.605	0	0	12	0	0	0	0
ASV.606	0	0	0	12	0	0	0
ASV.608	0	0	0	4	0	8	0
ASV.611	0	0	0	12	0	0	0
ASV.613	0	0	0	12	0	0	0
ASV.614	0	0	0	12	0	0	0
ASV.615	0	0	0	12	0	0	0
ASV.616	0	0	0	12	0	0	0
ASV.617	0	0	0	12	0	0	0
ASV.619	0	0	0	0	6	0	6
ASV.620	0	0	0	0	12	0	0
ASV.621	0	0	0	0	12	0	0
ASV.622	0	0	0	0	12	0	0
ASV.623	0	0	0	0	12	0	0
ASV.625	0	0	0	0	12	0	0
ASV.626	0	0	0	0	12	0	0
ASV.627	0	0	0	0	12	0	0
ASV.628	0	0	0	0	2	4	6
ASV.629	0	0	0	0	0	12	0
ASV.630	0	0	0	0	0	12	0
ASV.631	0	0	0	0	0	12	0
ASV.632	0	0	0	0	0	12	0
ASV.634	0	0	0	0	0	0	12
ASV.635	0	0	0	0	0	0	12
ASV.637	11	0	0	0	0	0	0
ASV.638	11	0	0	0	0	0	0
ASV.640	11	0	0	0	0	0	0
ASV.641	2	9	0	0	0	0	0
ASV.642	0	11	0	0	0	0	0
ASV.643	0	6	5	0	0	0	0
ASV.644	0	4	7	0	0	0	0
ASV.646	0	11	0	0	0	0	0
ASV.647	0	0	11	0	0	0	0
ASV.648	0	0	11	0	0	0	0
ASV.649	0	0	11	0	0	0	0
ASV.650	0	0	0	11	0	0	0
ASV.652	0	0	0	11	0	0	0
ASV.653	0	0	0	11	0	0	0
ASV.654	0	0	0	11	0	0	0
ASV.655	0	0	0	11	0	0	0
ASV.656	0	0	0	11	0	0	0
ASV.657	0	0	0	11	0	0	0
ASV.659	0	0	0	11	0	0	0
ASV.660	0	0	0	11	0	0	0
ASV.661	0	0	0	11	0	0	0
ASV.662	0	0	0	0	11	0	0
ASV.664	0	0	0	0	11	0	0
ASV.666	0	0	0	0	2	9	0
ASV.667	0	0	0	0	11	0	0
ASV.668	0	0	0	0	0	11	0
ASV.669	0	0	0	0	0	11	0
ASV.670	0	0	0	0	0	11	0
ASV.672	0	0	0	0	0	11	0
ASV.673	0	0	0	0	0	4	7
ASV.674	0	0	0	0	0	0	11
ASV.675	10	0	0	0	0	0	0
ASV.676	10	0	0	0	0	0	0
ASV.677	10	0	0	0	0	0	0
ASV.679	10	0	0	0	0	0	0
ASV.680	10	0	0	0	0	0	0
ASV.681	7	3	0	0	0	0	0
ASV.682	10	0	0	0	0	0	0
ASV.683	5	0	3	0	2	0	0
ASV.684	0	5	5	0	0	0	0
ASV.685	0	10	0	0	0	0	0
ASV.686	0	4	6	0	0	0	0
ASV.687	0	10	0	0	0	0	0
ASV.688	0	10	0	0	0	0	0
ASV.690	0	0	10	0	0	0	0
ASV.691	0	0	10	0	0	0	0
ASV.693	0	0	10	0	0	0	0
ASV.694	0	0	0	10	0	0	0
ASV.695	0	0	0	10	0	0	0
ASV.696	0	0	0	10	0	0	0
ASV.697	0	0	0	10	0	0	0
ASV.698	0	0	0	10	0	0	0
ASV.699	0	0	0	10	0	0	0
ASV.701	0	0	0	10	0	0	0
ASV.703	0	0	0	10	0	0	0
ASV.704	0	0	0	10	0	0	0
ASV.705	0	0	0	10	0	0	0
ASV.706	0	0	0	10	0	0	0
ASV.707	0	0	0	10	0	0	0
ASV.708	0	0	0	10	0	0	0
ASV.710	0	0	0	10	0	0	0
ASV.711	0	0	0	10	0	0	0
ASV.712	0	0	0	0	10	0	0
ASV.713	0	0	0	0	10	0	0
ASV.714	0	0	0	0	10	0	0
ASV.715	0	0	0	0	0	10	0
ASV.716	0	0	0	0	0	10	0
ASV.717	0	0	0	0	0	10	0
ASV.718	0	0	0	0	0	10	0
ASV.719	0	0	0	0	0	10	0
ASV.720	0	0	0	0	0	10	0
ASV.721	0	0	0	0	0	10	0
ASV.722	0	0	0	0	0	10	0
ASV.723	0	0	0	0	0	10	0
ASV.724	0	0	0	0	0	10	0
ASV.726	0	0	0	0	0	0	10
ASV.727	0	0	0	0	0	0	10
ASV.728	0	0	0	0	0	0	10
ASV.729	9	0	0	0	0	0	0
ASV.730	9	0	0	0	0	0	0
ASV.731	9	0	0	0	0	0	0
ASV.733	9	0	0	0	0	0	0
ASV.734	9	0	0	0	0	0	0
ASV.737	4	0	5	0	0	0	0
ASV.739	5	0	0	4	0	0	0
ASV.740	9	0	0	0	0	0	0
ASV.741	0	9	0	0	0	0	0
ASV.742	0	9	0	0	0	0	0
ASV.743	0	3	6	0	0	0	0
ASV.744	0	9	0	0	0	0	0
ASV.745	0	4	5	0	0	0	0
ASV.746	0	4	5	0	0	0	0
ASV.747	0	2	4	0	3	0	0
ASV.748	0	0	9	0	0	0	0
ASV.749	0	0	2	0	7	0	0
ASV.750	0	0	9	0	0	0	0
ASV.751	0	0	9	0	0	0	0
ASV.752	0	0	9	0	0	0	0
ASV.753	0	0	9	0	0	0	0
ASV.754	0	0	4	0	5	0	0
ASV.755	0	0	0	9	0	0	0
ASV.757	0	0	0	9	0	0	0
ASV.758	0	0	0	9	0	0	0
ASV.760	0	0	0	9	0	0	0
ASV.761	0	0	0	9	0	0	0
ASV.762	0	0	0	9	0	0	0
ASV.763	0	0	0	9	0	0	0
ASV.764	0	0	0	9	0	0	0
ASV.766	0	0	0	9	0	0	0
ASV.767	0	0	0	9	0	0	0
ASV.768	0	0	0	9	0	0	0
ASV.769	0	0	0	9	0	0	0
ASV.771	0	0	0	9	0	0	0
ASV.772	0	0	0	9	0	0	0
ASV.773	0	0	0	9	0	0	0
ASV.774	0	0	0	0	9	0	0
ASV.776	0	0	0	0	9	0	0
ASV.777	0	0	0	0	9	0	0
ASV.778	0	0	0	0	0	9	0
ASV.780	0	0	0	0	0	9	0
ASV.781	0	0	0	0	0	9	0
ASV.782	0	0	0	0	0	9	0
ASV.784	0	0	0	0	0	0	9
ASV.785	0	0	0	0	0	0	9
ASV.786	0	0	0	0	0	0	9
ASV.788	8	0	0	0	0	0	0
ASV.789	6	0	2	0	0	0	0
ASV.790	8	0	0	0	0	0	0
ASV.791	8	0	0	0	0	0	0
ASV.792	4	0	0	0	0	0	4
ASV.793	8	0	0	0	0	0	0
ASV.794	8	0	0	0	0	0	0
ASV.795	4	4	0	0	0	0	0
ASV.796	8	0	0	0	0	0	0
ASV.797	8	0	0	0	0	0	0
ASV.798	8	0	0	0	0	0	0
ASV.800	8	0	0	0	0	0	0
ASV.801	8	0	0	0	0	0	0
ASV.802	6	2	0	0	0	0	0
ASV.803	0	8	0	0	0	0	0
ASV.805	0	4	4	0	0	0	0
ASV.806	0	8	0	0	0	0	0
ASV.808	0	8	0	0	0	0	0
ASV.809	0	8	0	0	0	0	0
ASV.811	0	0	8	0	0	0	0
ASV.814	0	0	8	0	0	0	0
ASV.815	0	0	8	0	0	0	0
ASV.816	0	0	8	0	0	0	0
