KH.11.10.E15.100per.DNA	KH.11.10.E15.1per.DNA	KH.11.10.E16.100per.DNA	KH.11.10.E16.25per.DNA	KH.11.10.E17.100per.DNA	KH.11.10.E17.25per.DNA	KH.11.10.E18.100per.DNA	KH.13.7.W05.100per.DNA	KH.13.7.W05.1per.DNA	KH.13.7.W05.25per.DNA	KH.13.7.W06.100per.DNA	KH.13.7.W06.25per.DNA	KH.13.7.W07.100per.DNA	KH.13.7.W07.25per.DNA	KH.13.7.W08.100per.DNA	KH.13.7.W08.1per.DNA	KH.13.7.W08.25per.DNA
ASV.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV.0168	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV.0169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0171	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0172	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0173	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0174	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0175	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0178	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0179	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0180	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0181	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0182	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV.0183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV.0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV.0185	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0186	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0187	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0188	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0189	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0190	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0191	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0192	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0193	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0194	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0195	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0196	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0197	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0198	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0199	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0200	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0201	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0202	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0203	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0204	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0208	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0209	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0210	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0211	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0212	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0213	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0214	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0215	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0216	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0217	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0218	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0219	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0220	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0221	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0222	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0223	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0224	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0225	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0226	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0227	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0228	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0229	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0230	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0231	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0232	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV.0233	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV.0234	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV.0235	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV.0236	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV.0237	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV.0238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV.0239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV.0240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0248	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0249	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0250	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0251	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV.0252	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV.0253	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV.0254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV.0255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV.0256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0257	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
