SRR15563446	SRR15563447	SRR15563448	SRR15563449	SRR15563450	SRR15563451	SRR15563452	SRR15563453	SRR15563454	SRR15563455	SRR15563456	SRR15563457	SRR15563458	SRR15563459	SRR15563460	SRR15563461	SRR15563462	SRR15563463	SRR15563464	SRR15563465	SRR15563466	SRR15563467	SRR15563468	SRR15563469	SRR15563470	SRR15563471	SRR15563472	SRR15563473	SRR15563474	SRR15563475	SRR15563476	SRR15563477	SRR15563478	SRR15563479	SRR15563480	SRR15563481	SRR15563482	SRR15563483	SRR15563484	SRR15563485	SRR15563486	SRR15563487	SRR15563488	SRR15563489	SRR15563490	SRR15563491	SRR15563492	SRR15563493	SRR15563494	SRR15563495	SRR15563496	SRR15563497	SRR15563498	SRR15563499	SRR15563500	SRR15563501	SRR15563502	SRR15563679	SRR15563680	SRR15563681	SRR15563682	SRR15563683	SRR15563684	SRR15563685	SRR15563686	SRR15563687	SRR15563688	SRR15563689	SRR15563690	SRR15563691	SRR15563692	SRR15563693	SRR15563694	SRR15563695	SRR15563696	SRR15563697	SRR15563698	SRR15563699	SRR15563700	SRR15563701	SRR15564309	SRR15564310	SRR15564311
ASV.73	0	0	0	0	0	0	0	0	0	0	4106	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.74	0	0	0	0	0	0	0	0	0	0	3855	0	0	0	0	0	0	177	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2716	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.77	0	0	0	0	0	0	0	0	0	81	3440	0	0	0	0	0	0	131	0	0	0	9	0	0	0	0	0	64	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3666	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ASV.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	930	0	0	0	0	0	0	0	0	0	0	0	0	2661	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2523	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3237	31	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.84	58	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	2985	50	0	0	0	0	0	0	18	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3211	0	0	0	82	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
