asvLen	totReads	numSamps
ASV.911	172	444	1
ASV.912	61	443	1
ASV.913	141	442	1
ASV.914	87	442	1
ASV.915	76	441	2
ASV.917	72	440	1
ASV.919	40	440	2
ASV.922	164	439	1
ASV.924	68	437	1
ASV.925	87	437	1
ASV.926	63	436	1
ASV.929	110	435	1
ASV.930	180	434	1
ASV.931	113	434	5
ASV.932	75	433	1
ASV.933	41	433	1
ASV.934	77	433	1
ASV.935	76	432	1
ASV.936	88	432	1
ASV.937	60	432	2
ASV.938	67	431	1
ASV.939	98	431	1
ASV.940	151	430	1
ASV.941	85	428	1
ASV.942	87	428	1
ASV.943	160	428	2
ASV.944	53	427	5
ASV.945	48	427	1
ASV.946	100	427	1
ASV.949	46	426	1
ASV.951	115	423	1
ASV.954	46	422	2
ASV.955	140	422	1
ASV.956	48	422	1
ASV.957	72	422	1
ASV.958	39	422	2
ASV.959	80	422	1
ASV.960	80	421	1
ASV.961	43	421	3
ASV.962	258	421	2
ASV.963	142	420	1
ASV.964	94	420	3
ASV.965	65	419	1
ASV.966	189	419	1
ASV.968	83	418	1
ASV.969	75	418	1
ASV.970	126	417	1
ASV.971	106	417	2
ASV.972	64	416	1
ASV.973	41	416	2
ASV.974	101	416	1
ASV.976	85	415	1
ASV.977	44	415	1
ASV.978	155	414	2
ASV.980	169	413	1
ASV.982	120	413	1
ASV.983	48	412	1
ASV.984	103	411	2
ASV.985	130	410	1
ASV.987	132	409	1
ASV.989	116	408	1
ASV.991	40	406	1
ASV.993	60	404	1
ASV.995	49	403	2
ASV.996	79	403	1
ASV.998	58	402	1
ASV.999	139	402	1
ASV.1000	109	401	1
ASV.1001	59	401	1
ASV.1002	49	401	1
ASV.1003	45	401	1
ASV.1004	42	400	1
ASV.1007	89	398	1
ASV.1008	40	398	1
ASV.1009	69	398	2
ASV.1010	61	397	2
ASV.1011	60	397	1
ASV.1012	92	394	1
ASV.1013	118	394	1
ASV.1014	74	394	1
ASV.1015	81	394	1
ASV.1016	41	394	2
ASV.1017	46	394	1
ASV.1019	325	394	1
ASV.1021	76	393	2
ASV.1022	74	393	1
ASV.1023	61	392	1
ASV.1025	79	392	1
ASV.1027	85	390	1
ASV.1028	53	389	1
ASV.1030	47	388	3
ASV.1031	48	388	1
ASV.1032	46	388	1
ASV.1034	54	387	1
ASV.1035	325	387	2
ASV.1037	88	385	1
ASV.1039	74	385	1
ASV.1040	48	385	1
ASV.1041	152	384	1
ASV.1042	37	384	4
ASV.1047	78	382	1
ASV.1049	48	381	1
ASV.1051	63	380	1
ASV.1052	76	380	1
ASV.1053	81	380	1
ASV.1054	42	380	2
ASV.1055	55	379	1
ASV.1056	94	379	1
ASV.1058	75	379	2
ASV.1060	94	378	2
ASV.1063	103	376	1
ASV.1065	121	375	1
ASV.1066	65	375	2
ASV.1068	143	374	1
ASV.1070	139	373	1
ASV.1071	45	373	2
ASV.1073	135	371	1
ASV.1074	80	371	1
ASV.1075	53	371	1
ASV.1076	100	371	2
ASV.1077	109	371	1
ASV.1078	67	370	3
ASV.1079	104	370	2
ASV.1080	73	369	1
ASV.1081	41	368	1
ASV.1082	101	368	3
ASV.1083	180	368	2
ASV.1084	53	368	1
ASV.1085	37	367	1
ASV.1086	46	367	2
ASV.1087	54	367	2
ASV.1088	133	366	1
ASV.1092	82	364	1
ASV.1093	73	364	1
ASV.1094	113	364	2
ASV.1095	53	364	1
ASV.1096	50	364	1
ASV.1097	91	364	1
ASV.1098	109	364	1
ASV.1101	83	363	1
ASV.1102	56	363	2
ASV.1103	121	362	1
ASV.1104	80	362	1
ASV.1105	80	361	1
ASV.1106	52	360	1
ASV.1107	144	359	1
ASV.1109	41	358	1
ASV.1110	155	357	2
ASV.1111	118	357	1
ASV.1115	51	356	1
ASV.1116	45	354	1
ASV.1117	50	354	2
ASV.1118	37	353	1
ASV.1119	57	351	1
ASV.1121	80	351	1
ASV.1122	121	351	1
ASV.1123	61	351	1
ASV.1125	156	351	1
ASV.1127	78	350	1
ASV.1128	52	350	1
ASV.1129	55	349	1
ASV.1130	67	348	3
ASV.1131	43	348	1
ASV.1132	48	348	1
ASV.1133	73	348	1
ASV.1134	206	348	1
ASV.1135	47	348	1
ASV.1139	59	347	1
ASV.1141	46	347	1
ASV.1142	55	347	1
ASV.1144	187	346	1
ASV.1146	68	346	1
ASV.1147	86	345	1
ASV.1148	40	345	1
ASV.1149	60	345	3
ASV.1150	133	344	1
ASV.1151	126	344	1
ASV.1153	105	344	1
ASV.1155	49	344	2
ASV.1157	70	343	1
ASV.1158	41	343	1
ASV.1159	231	343	1
ASV.1161	58	342	1
ASV.1163	45	342	1
ASV.1165	96	342	2
ASV.1166	80	342	1
ASV.1168	115	341	1
ASV.1169	84	341	1
ASV.1170	128	341	1
ASV.1171	88	339	1
ASV.1172	92	339	1
ASV.1173	48	339	1
ASV.1175	172	339	1
ASV.1177	132	338	1
ASV.1178	56	338	1
ASV.1179	57	338	1
ASV.1181	64	337	1
ASV.1182	82	337	1
ASV.1183	153	337	1
ASV.1184	75	336	3
ASV.1185	231	336	1
ASV.1187	40	335	1
ASV.1190	72	334	1
ASV.1191	86	334	1
ASV.1192	94	334	2
ASV.1193	71	334	1
ASV.1195	84	334	2
ASV.1196	88	334	1
ASV.1197	62	334	1
ASV.1198	92	333	1
ASV.1199	97	333	1
ASV.1201	127	332	1
ASV.1202	150	332	1
ASV.1203	48	332	1
ASV.1204	54	332	1
ASV.1205	72	332	1
