SRR19399856	SRR19399857	SRR19399858	SRR19399859	SRR19399860	SRR19399861	SRR19399862	SRR19399863	SRR19399864	SRR19399865	SRR19399866	SRR19399867	SRR19399868	SRR19399869	SRR19399870	SRR19399871	SRR19399872	SRR19399873	SRR19399874	SRR19399875	SRR19399876	SRR19399877	SRR19399878	SRR19399879	SRR19399880	SRR19399881	SRR19399882	SRR19399883	SRR19399884
ASV.109	0	0	0	0	0	0	0	5	13	567	0	354	11	0	0	51	0	69	592	8	0	0	0	0	0	0	0	0	0
ASV.110	0	0	0	0	0	0	0	0	298	1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	0	0	0	1002	0	0	0	0	0	63	589	0	0	0	0	0	0	0	0	0	0
ASV.112	0	0	0	0	0	0	0	180	0	13	7	392	280	82	0	21	0	36	531	93	0	0	0	0	0	0	0	0	0
ASV.113	0	0	0	0	0	0	0	0	232	1276	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.114	0	0	0	0	0	0	0	0	284	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432	0	0	0	0
ASV.117	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	0	0	224	51	0	0	0	0
ASV.118	0	0	0	0	0	0	0	0	166	1060	59	0	89	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	0	0	27	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.122	0	0	0	0	0	0	0	0	44	369	12	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	408	162	0	0	0	0
ASV.126	0	0	0	0	0	0	0	0	0	0	0	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.127	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103	0	0	32	0	0	0	0	0
ASV.128	0	0	0	0	0	0	0	0	43	356	0	0	0	0	0	179	0	98	552	0	0	0	0	0	0	0	0	8	0
