asvLen	totReads	numSamps
ASV.563	97	232	2
ASV.565	328	231	1
ASV.566	328	231	1
ASV.567	167	231	6
ASV.568	59	231	3
ASV.569	79	231	5
ASV.570	174	231	2
ASV.571	139	230	1
ASV.572	328	230	1
ASV.573	328	230	1
ASV.574	316	229	3
ASV.575	265	229	1
ASV.576	298	228	1
ASV.577	328	227	2
ASV.578	72	227	1
ASV.579	461	226	2
ASV.580	249	226	1
ASV.581	223	226	1
ASV.582	49	226	1
ASV.584	53	225	7
ASV.585	77	225	6
ASV.586	139	225	1
ASV.588	80	224	4
ASV.589	75	224	1
ASV.590	272	224	1
ASV.591	193	224	1
ASV.592	56	223	5
ASV.595	328	222	1
ASV.596	97	221	7
ASV.597	197	221	1
ASV.598	101	221	6
ASV.599	328	221	3
ASV.600	82	220	4
ASV.601	276	220	2
ASV.602	328	220	1
ASV.604	73	219	2
ASV.605	281	218	1
ASV.607	114	218	6
ASV.608	124	217	8
ASV.610	227	216	1
ASV.611	93	215	2
ASV.612	159	215	1
ASV.613	195	215	2
ASV.614	65	214	1
ASV.615	328	214	1
ASV.617	61	212	1
ASV.618	118	212	2
ASV.620	328	212	1
ASV.621	43	211	7
ASV.624	327	210	4
ASV.625	48	210	1
ASV.626	35	209	8
ASV.628	47	209	5
ASV.629	225	208	2
ASV.630	54	208	1
ASV.631	149	208	5
ASV.632	198	208	2
ASV.635	60	206	1
ASV.636	190	206	2
ASV.637	162	206	1
ASV.638	162	205	3
ASV.639	69	205	3
ASV.640	329	205	1
ASV.641	209	203	1
ASV.643	151	202	1
ASV.644	180	201	3
ASV.646	408	201	1
ASV.647	129	200	1
ASV.649	46	199	3
ASV.652	222	198	3
ASV.653	48	198	1
ASV.654	328	198	1
ASV.655	461	197	2
ASV.656	328	197	2
ASV.657	125	197	4
ASV.658	103	197	1
ASV.659	91	197	4
ASV.660	97	196	2
ASV.661	172	196	7
ASV.662	82	196	5
ASV.663	104	196	5
ASV.664	328	196	2
ASV.665	191	195	4
ASV.666	455	195	3
ASV.667	328	195	1
ASV.668	78	195	3
ASV.669	46	195	1
ASV.670	46	194	2
ASV.671	148	193	1
ASV.672	97	193	6
ASV.673	84	193	1
ASV.674	81	192	4
ASV.675	131	192	2
ASV.677	341	190	1
ASV.678	156	190	5
ASV.679	146	190	2
ASV.680	367	190	2
ASV.681	256	190	1
ASV.682	328	189	1
ASV.684	227	188	3
ASV.685	455	188	2
ASV.686	138	188	2
ASV.687	148	187	2
ASV.688	328	187	2
ASV.689	40	187	2
ASV.690	328	187	1
ASV.691	322	187	1
ASV.692	311	187	1
ASV.693	144	186	2
ASV.695	132	186	3
ASV.696	130	186	6
ASV.697	247	185	4
ASV.698	28	185	4
ASV.699	186	185	7
ASV.700	73	185	2
ASV.701	227	185	2
ASV.702	225	184	1
ASV.703	341	184	1
ASV.704	60	184	8
ASV.705	381	184	1
ASV.706	43	183	2
ASV.707	36	183	4
ASV.708	40	183	2
ASV.709	42	183	1
ASV.710	225	182	4
ASV.711	266	182	3
ASV.712	69	182	9
ASV.715	187	182	4
ASV.716	454	182	1
ASV.717	196	181	5
ASV.718	49	181	6
ASV.719	172	181	5
ASV.720	247	181	1
ASV.721	325	180	1
ASV.722	328	180	2
ASV.723	93	179	7
ASV.725	328	178	2
ASV.727	314	177	2
ASV.728	52	177	1
ASV.729	134	177	4
ASV.730	68	177	1
ASV.732	341	177	1
ASV.733	297	177	1
ASV.734	243	176	1
ASV.735	172	176	8
ASV.736	112	176	4
ASV.737	142	176	2
ASV.738	362	175	1
ASV.739	201	175	2
ASV.740	124	174	6
ASV.741	328	174	3
ASV.742	75	174	4
ASV.743	174	174	1
ASV.744	242	174	1
ASV.745	231	173	1
ASV.746	82	173	2
ASV.747	97	173	6
ASV.748	76	173	7
ASV.751	108	173	1
ASV.753	111	172	2
ASV.754	126	172	2
ASV.755	328	171	1
ASV.757	157	171	2
ASV.758	328	171	1
ASV.760	366	170	1
ASV.761	204	170	1
ASV.762	272	170	1
ASV.764	280	169	2
ASV.765	39	169	1
ASV.766	286	169	1
ASV.768	297	168	1
ASV.769	238	168	1
ASV.770	341	168	1
ASV.771	99	168	3
ASV.773	53	167	6
ASV.774	42	167	6
ASV.775	156	167	5
ASV.776	186	167	1
ASV.777	275	167	1
ASV.778	341	167	1
ASV.779	225	166	1
ASV.780	359	166	1
ASV.782	142	165	1
ASV.783	116	165	6
ASV.784	101	165	4
ASV.785	144	165	2
ASV.786	108	165	1
ASV.788	456	165	1
ASV.789	128	164	4
ASV.792	296	164	1
ASV.793	330	163	1
ASV.794	134	163	3
ASV.795	265	163	1
ASV.796	92	163	2
ASV.797	307	163	1
ASV.799	165	162	11
ASV.801	87	162	4
ASV.802	223	162	2
ASV.803	135	162	1
ASV.804	458	161	1
ASV.805	84	161	2
ASV.807	295	161	1
ASV.808	59	160	6
ASV.809	104	160	1
ASV.810	117	159	1
