SRR13612873	SRR13612874	SRR13612875	SRR13612876
ASV.517	0	0	0	3
ASV.518	0	0	0	3
ASV.519	0	0	0	3
ASV.520	2	0	0	0
ASV.521	2	0	0	0
ASV.522	2	0	0	0
ASV.523	2	0	0	0
ASV.524	2	0	0	0
ASV.525	2	0	0	0
ASV.526	2	0	0	0
ASV.527	2	0	0	0
ASV.528	2	0	0	0
ASV.529	2	0	0	0
ASV.530	2	0	0	0
ASV.531	2	0	0	0
ASV.532	2	0	0	0
ASV.533	2	0	0	0
ASV.534	2	0	0	0
ASV.535	2	0	0	0
ASV.536	2	0	0	0
ASV.537	2	0	0	0
ASV.538	2	0	0	0
ASV.539	2	0	0	0
ASV.540	2	0	0	0
ASV.541	2	0	0	0
ASV.542	2	0	0	0
ASV.543	2	0	0	0
ASV.544	2	0	0	0
ASV.545	2	0	0	0
ASV.546	2	0	0	0
ASV.547	2	0	0	0
ASV.548	2	0	0	0
ASV.549	2	0	0	0
ASV.550	2	0	0	0
ASV.551	2	0	0	0
ASV.552	2	0	0	0
ASV.553	2	0	0	0
ASV.554	2	0	0	0
ASV.555	2	0	0	0
ASV.556	2	0	0	0
ASV.557	2	0	0	0
ASV.558	2	0	0	0
ASV.559	2	0	0	0
ASV.560	2	0	0	0
ASV.561	0	2	0	0
ASV.562	0	2	0	0
ASV.563	0	2	0	0
ASV.564	0	2	0	0
ASV.565	0	2	0	0
ASV.566	0	2	0	0
ASV.567	0	2	0	0
ASV.568	0	2	0	0
ASV.569	0	2	0	0
ASV.570	0	2	0	0
ASV.571	0	2	0	0
ASV.572	0	2	0	0
ASV.573	0	2	0	0
ASV.574	0	2	0	0
ASV.575	0	2	0	0
ASV.576	0	2	0	0
ASV.577	0	2	0	0
ASV.578	0	2	0	0
ASV.579	0	2	0	0
ASV.580	0	2	0	0
ASV.581	0	2	0	0
ASV.582	0	2	0	0
ASV.583	0	2	0	0
ASV.584	0	2	0	0
ASV.585	0	2	0	0
ASV.586	0	2	0	0
ASV.587	0	2	0	0
ASV.588	0	2	0	0
ASV.589	0	2	0	0
ASV.590	0	2	0	0
ASV.591	0	2	0	0
ASV.592	0	2	0	0
ASV.593	0	2	0	0
ASV.594	0	2	0	0
ASV.595	0	2	0	0
ASV.596	0	2	0	0
ASV.597	0	2	0	0
ASV.598	0	2	0	0
ASV.599	0	2	0	0
ASV.600	0	2	0	0
ASV.601	0	2	0	0
ASV.602	0	2	0	0
ASV.603	0	2	0	0
ASV.604	0	2	0	0
ASV.605	0	2	0	0
ASV.606	0	2	0	0
ASV.607	0	2	0	0
ASV.608	0	2	0	0
ASV.609	0	2	0	0
ASV.610	0	0	2	0
ASV.611	0	0	2	0
ASV.612	0	0	2	0
ASV.613	0	0	2	0
ASV.614	0	0	2	0
ASV.615	0	0	2	0
ASV.616	0	0	2	0
ASV.617	0	0	2	0
ASV.618	0	0	2	0
ASV.619	0	0	2	0
ASV.620	0	0	2	0
ASV.621	0	0	2	0
ASV.622	0	0	2	0
ASV.623	0	0	2	0
ASV.624	0	0	2	0
ASV.625	0	0	2	0
ASV.626	0	0	2	0
ASV.627	0	0	2	0
ASV.628	0	0	2	0
ASV.629	0	0	2	0
ASV.630	0	0	2	0
ASV.631	0	0	2	0
ASV.632	0	0	2	0
ASV.633	0	0	2	0
ASV.634	0	0	2	0
ASV.635	0	0	2	0
ASV.636	0	0	2	0
ASV.637	0	0	2	0
ASV.638	0	0	2	0
ASV.639	0	0	2	0
ASV.640	0	0	0	2
ASV.641	0	0	0	2
ASV.642	0	0	0	2
ASV.643	0	0	0	2
ASV.644	0	0	0	2
ASV.645	0	0	0	2
ASV.646	0	0	0	2
ASV.647	0	0	0	2
ASV.648	0	0	0	2
ASV.649	0	0	0	2
ASV.650	0	0	0	2
ASV.651	0	0	0	2
ASV.652	0	0	0	2
ASV.653	0	0	0	2
ASV.654	0	0	0	2
