SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.92	0	0	0	0	20	14	43	18
ASV.93	0	0	0	93	0	0	0	0
ASV.94	88	0	0	0	0	0	0	0
ASV.95	0	0	0	87	0	0	0	0
ASV.96	0	0	0	0	0	16	0	71
ASV.97	0	29	28	29	0	0	0	0
ASV.98	0	0	0	0	21	0	36	28
ASV.99	0	0	0	0	14	0	33	38
ASV.100	0	0	0	0	23	10	29	21
ASV.101	0	80	0	0	0	0	0	0
ASV.103	79	0	0	0	0	0	0	0
ASV.104	0	31	24	23	0	0	0	0
ASV.105	76	0	0	0	0	0	0	0
ASV.107	74	0	0	0	0	0	0	0
ASV.108	0	22	14	36	0	0	0	0
ASV.109	0	0	0	0	72	0	0	0
ASV.110	0	0	0	0	70	0	0	0
ASV.111	0	0	0	0	42	0	28	0
ASV.112	0	0	0	0	14	0	25	31
ASV.113	0	0	0	0	0	0	70	0
ASV.114	68	0	0	0	0	0	0	0
ASV.115	0	0	68	0	0	0	0	0
ASV.116	66	0	0	0	0	0	0	0
ASV.117	0	0	0	0	0	52	0	14
ASV.118	0	0	0	0	11	0	26	27
ASV.119	0	0	3	0	16	8	15	21
ASV.120	61	0	0	0	0	0	0	0
ASV.121	61	0	0	0	0	0	0	0
ASV.122	0	49	12	0	0	0	0	0
ASV.124	0	0	0	0	0	0	0	61
ASV.125	0	10	12	24	0	0	0	13
ASV.126	0	20	20	18	0	0	0	0
ASV.127	57	0	0	0	0	0	0	0
ASV.128	0	57	0	0	0	0	0	0
ASV.130	0	0	0	0	18	5	18	15
ASV.131	55	0	0	0	0	0	0	0
ASV.133	0	0	0	0	11	17	12	15
ASV.134	54	0	0	0	0	0	0	0
ASV.135	54	0	0	0	0	0	0	0
ASV.136	54	0	0	0	0	0	0	0
ASV.137	0	0	0	0	5	11	25	13
ASV.138	0	0	0	0	0	0	54	0
ASV.139	0	0	0	0	13	28	12	0
ASV.140	0	0	0	0	12	0	21	20
ASV.141	0	0	0	0	16	0	22	15
ASV.142	0	17	18	17	0	0	0	0
ASV.143	0	0	0	0	52	0	0	0
ASV.144	51	0	0	0	0	0	0	0
ASV.145	0	11	26	13	0	0	0	0
ASV.146	0	0	0	0	50	0	0	0
ASV.147	0	15	23	11	0	0	0	0
ASV.148	48	0	0	0	0	0	0	0
ASV.149	0	0	30	18	0	0	0	0
ASV.151	0	0	0	0	12	2	22	11
ASV.152	0	0	0	0	0	0	47	0
ASV.154	0	6	13	18	9	0	0	0
ASV.156	43	0	0	0	0	0	0	0
ASV.157	0	0	43	0	0	0	0	0
ASV.158	42	0	0	0	0	0	0	0
ASV.159	0	0	0	0	12	0	15	15
ASV.162	0	0	0	0	13	0	13	15
ASV.163	0	3	0	18	0	0	9	10
ASV.164	0	2	20	18	0	0	0	0
ASV.165	0	0	0	0	9	12	12	7
ASV.166	0	0	0	0	12	9	0	19
ASV.167	0	0	0	0	0	8	20	12
ASV.168	0	6	25	8	0	0	0	0
ASV.169	0	0	0	0	0	0	0	38
ASV.170	37	0	0	0	0	0	0	0
ASV.171	0	5	0	0	0	11	21	0
ASV.172	0	33	0	0	4	0	0	0
ASV.174	0	0	0	0	0	25	0	12
ASV.177	36	0	0	0	0	0	0	0
ASV.178	0	0	0	29	0	7	0	0
ASV.179	0	0	0	0	0	20	16	0
ASV.180	0	0	0	0	0	0	15	21
ASV.181	35	0	0	0	0	0	0	0
ASV.183	0	0	0	0	35	0	0	0
ASV.184	0	0	0	0	8	0	17	10
ASV.185	0	0	0	0	0	0	0	35
ASV.186	13	6	0	6	0	9	0	0
ASV.187	34	0	0	0	0	0	0	0
ASV.188	0	15	11	8	0	0	0	0
ASV.189	0	0	34	0	0	0	0	0
ASV.190	0	0	0	0	8	0	0	26
ASV.191	33	0	0	0	0	0	0	0
ASV.192	0	33	0	0	0	0	0	0
ASV.193	0	5	28	0	0	0	0	0
ASV.195	32	0	0	0	0	0	0	0
ASV.196	32	0	0	0	0	0	0	0
ASV.197	32	0	0	0	0	0	0	0
ASV.198	0	12	10	10	0	0	0	0
ASV.199	0	0	0	0	2	16	8	6
ASV.200	0	0	0	0	0	32	0	0
ASV.201	31	0	0	0	0	0	0	0
ASV.202	0	10	0	21	0	0	0	0
