SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.772	0	0	0	5	0	0	0	0
ASV.773	0	0	0	5	0	0	0	0
ASV.774	0	0	0	5	0	0	0	0
ASV.775	0	0	0	5	0	0	0	0
ASV.777	0	0	0	5	0	0	0	0
ASV.778	0	0	0	5	0	0	0	0
ASV.779	0	0	0	5	0	0	0	0
ASV.780	0	0	0	0	5	0	0	0
ASV.781	0	0	0	0	3	0	0	2
ASV.783	0	0	0	0	5	0	0	0
ASV.784	0	0	0	0	5	0	0	0
ASV.785	0	0	0	0	5	0	0	0
ASV.786	0	0	0	0	2	0	3	0
ASV.787	0	0	0	0	5	0	0	0
ASV.788	0	0	0	0	5	0	0	0
ASV.789	0	0	0	0	5	0	0	0
ASV.791	0	0	0	0	0	5	0	0
ASV.792	0	0	0	0	0	5	0	0
ASV.793	0	0	0	0	0	5	0	0
ASV.794	0	0	0	0	0	5	0	0
ASV.795	0	0	0	0	0	5	0	0
ASV.796	0	0	0	0	0	2	3	0
ASV.797	0	0	0	0	0	5	0	0
ASV.798	0	0	0	0	0	5	0	0
ASV.799	0	0	0	0	0	5	0	0
ASV.800	0	0	0	0	0	5	0	0
ASV.801	0	0	0	0	0	5	0	0
ASV.802	0	0	0	0	0	5	0	0
ASV.803	0	0	0	0	0	5	0	0
ASV.804	0	0	0	0	0	5	0	0
ASV.805	0	0	0	0	0	2	0	3
ASV.807	0	0	0	0	0	0	2	3
ASV.808	0	0	0	0	0	0	5	0
ASV.809	0	0	0	0	0	0	5	0
ASV.810	0	0	0	0	0	0	5	0
ASV.811	0	0	0	0	0	0	5	0
ASV.812	0	0	0	0	0	0	5	0
ASV.814	0	0	0	0	0	0	5	0
ASV.815	0	0	0	0	0	0	5	0
ASV.816	0	0	0	0	0	0	5	0
ASV.817	0	0	0	0	0	0	5	0
ASV.818	0	0	0	0	0	0	5	0
ASV.819	0	0	0	0	0	0	5	0
ASV.820	0	0	0	0	0	0	5	0
ASV.821	0	0	0	0	0	0	5	0
ASV.822	0	0	0	0	0	0	5	0
ASV.823	0	0	0	0	0	0	5	0
ASV.824	0	0	0	0	0	0	5	0
ASV.825	0	0	0	0	0	0	5	0
ASV.826	0	0	0	0	0	0	5	0
ASV.827	0	0	0	0	0	0	5	0
ASV.828	0	0	0	0	0	0	5	0
ASV.829	0	0	0	0	0	0	0	5
ASV.830	0	0	0	0	0	0	0	5
ASV.832	0	0	0	0	0	0	0	5
ASV.833	0	0	0	0	0	0	0	5
ASV.834	0	0	0	0	0	0	0	5
ASV.838	0	0	0	0	0	0	0	5
ASV.839	0	0	0	0	0	0	0	5
ASV.840	0	0	0	0	0	0	0	5
ASV.841	0	0	0	0	0	0	0	5
ASV.842	0	0	0	0	0	0	0	5
ASV.843	0	0	0	0	0	0	0	5
ASV.844	0	0	0	0	0	0	0	5
ASV.845	0	0	0	0	0	0	0	5
ASV.847	0	0	0	0	0	0	0	5
ASV.848	4	0	0	0	0	0	0	0
ASV.849	4	0	0	0	0	0	0	0
ASV.851	4	0	0	0	0	0	0	0
ASV.852	4	0	0	0	0	0	0	0
ASV.856	4	0	0	0	0	0	0	0
ASV.858	4	0	0	0	0	0	0	0
ASV.860	4	0	0	0	0	0	0	0
ASV.861	4	0	0	0	0	0	0	0
ASV.862	4	0	0	0	0	0	0	0
ASV.863	4	0	0	0	0	0	0	0
ASV.864	4	0	0	0	0	0	0	0
ASV.865	4	0	0	0	0	0	0	0
ASV.867	4	0	0	0	0	0	0	0
ASV.868	4	0	0	0	0	0	0	0
ASV.872	4	0	0	0	0	0	0	0
ASV.873	4	0	0	0	0	0	0	0
ASV.874	4	0	0	0	0	0	0	0
ASV.875	4	0	0	0	0	0	0	0
ASV.877	4	0	0	0	0	0	0	0
ASV.880	4	0	0	0	0	0	0	0
ASV.881	4	0	0	0	0	0	0	0
ASV.882	4	0	0	0	0	0	0	0
ASV.884	4	0	0	0	0	0	0	0
ASV.885	4	0	0	0	0	0	0	0
ASV.888	4	0	0	0	0	0	0	0
ASV.891	4	0	0	0	0	0	0	0
ASV.894	4	0	0	0	0	0	0	0
ASV.895	4	0	0	0	0	0	0	0
ASV.896	4	0	0	0	0	0	0	0
ASV.897	4	0	0	0	0	0	0	0
ASV.899	4	0	0	0	0	0	0	0
ASV.900	4	0	0	0	0	0	0	0
ASV.901	4	0	0	0	0	0	0	0
ASV.902	4	0	0	0	0	0	0	0
ASV.903	4	0	0	0	0	0	0	0
ASV.904	4	0	0	0	0	0	0	0
ASV.905	4	0	0	0	0	0	0	0
ASV.907	4	0	0	0	0	0	0	0
ASV.911	4	0	0	0	0	0	0	0
ASV.914	0	4	0	0	0	0	0	0
ASV.915	0	4	0	0	0	0	0	0
ASV.916	0	4	0	0	0	0	0	0
ASV.917	0	4	0	0	0	0	0	0
ASV.918	0	4	0	0	0	0	0	0
ASV.919	0	4	0	0	0	0	0	0
ASV.920	0	4	0	0	0	0	0	0
ASV.921	0	2	2	0	0	0	0	0
ASV.922	0	4	0	0	0	0	0	0
ASV.923	0	4	0	0	0	0	0	0
ASV.924	0	0	4	0	0	0	0	0
ASV.925	0	0	4	0	0	0	0	0
ASV.926	0	0	4	0	0	0	0	0
ASV.928	0	0	4	0	0	0	0	0
ASV.929	0	0	4	0	0	0	0	0
ASV.930	0	0	4	0	0	0	0	0
ASV.931	0	0	4	0	0	0	0	0
ASV.932	0	0	4	0	0	0	0	0
ASV.933	0	0	4	0	0	0	0	0
ASV.936	0	0	4	0	0	0	0	0
ASV.937	0	0	4	0	0	0	0	0
ASV.938	0	0	4	0	0	0	0	0
ASV.939	0	0	4	0	0	0	0	0
ASV.941	0	0	4	0	0	0	0	0
ASV.942	0	0	4	0	0	0	0	0
ASV.944	0	0	4	0	0	0	0	0
ASV.947	0	0	4	0	0	0	0	0
ASV.948	0	0	4	0	0	0	0	0
ASV.949	0	0	0	4	0	0	0	0
ASV.950	0	0	0	4	0	0	0	0
ASV.951	0	0	0	4	0	0	0	0
ASV.952	0	0	0	4	0	0	0	0
ASV.954	0	0	0	4	0	0	0	0
ASV.955	0	0	0	4	0	0	0	0
ASV.956	0	0	0	4	0	0	0	0
ASV.958	0	0	0	4	0	0	0	0
ASV.960	0	0	0	2	2	0	0	0
ASV.961	0	0	0	0	4	0	0	0
ASV.962	0	0	0	0	4	0	0	0
ASV.963	0	0	0	0	4	0	0	0
ASV.964	0	0	0	0	4	0	0	0
ASV.965	0	0	0	0	4	0	0	0
ASV.966	0	0	0	0	4	0	0	0
ASV.967	0	0	0	0	2	2	0	0
ASV.968	0	0	0	0	4	0	0	0
ASV.969	0	0	0	0	4	0	0	0
ASV.970	0	0	0	0	4	0	0	0
ASV.971	0	0	0	0	4	0	0	0
ASV.972	0	0	0	0	4	0	0	0
ASV.973	0	0	0	0	0	2	2	0
ASV.974	0	0	0	0	0	4	0	0
ASV.975	0	0	0	0	0	4	0	0
ASV.976	0	0	0	0	0	4	0	0
ASV.977	0	0	0	0	0	4	0	0
ASV.978	0	0	0	0	0	4	0	0
ASV.979	0	0	0	0	0	4	0	0
ASV.981	0	0	0	0	0	4	0	0
ASV.982	0	0	0	0	0	4	0	0
ASV.983	0	0	0	0	0	4	0	0
ASV.984	0	0	0	0	0	4	0	0
ASV.985	0	0	0	0	0	4	0	0
ASV.986	0	0	0	0	0	4	0	0
ASV.987	0	0	0	0	0	4	0	0
ASV.988	0	0	0	0	0	4	0	0
ASV.989	0	0	0	0	0	4	0	0
ASV.990	0	0	0	0	0	4	0	0
ASV.991	0	0	0	0	0	4	0	0
ASV.992	0	0	0	0	0	4	0	0
ASV.993	0	0	0	0	0	4	0	0
ASV.994	0	0	0	0	0	4	0	0
ASV.995	0	0	0	0	0	4	0	0
ASV.996	0	0	0	0	0	4	0	0
ASV.997	0	0	0	0	0	4	0	0
ASV.998	0	0	0	0	0	4	0	0
ASV.999	0	0	0	0	0	4	0	0
ASV.1000	0	0	0	0	0	0	4	0
ASV.1001	0	0	0	0	0	0	4	0
ASV.1002	0	0	0	0	0	0	4	0
ASV.1003	0	0	0	0	0	0	4	0
ASV.1004	0	0	0	0	0	0	4	0
ASV.1005	0	0	0	0	0	0	4	0
ASV.1006	0	0	0	0	0	0	4	0
ASV.1007	0	0	0	0	0	0	4	0
ASV.1008	0	0	0	0	0	0	4	0
ASV.1009	0	0	0	0	0	0	4	0
ASV.1010	0	0	0	0	0	0	4	0
ASV.1011	0	0	0	0	0	0	4	0
ASV.1012	0	0	0	0	0	0	4	0
ASV.1013	0	0	0	0	0	0	4	0
ASV.1014	0	0	0	0	0	0	4	0
ASV.1015	0	0	0	0	0	0	4	0
ASV.1017	0	0	0	0	0	0	4	0
ASV.1018	0	0	0	0	0	0	4	0
ASV.1019	0	0	0	0	0	0	4	0
ASV.1020	0	0	0	0	0	0	4	0
ASV.1021	0	0	0	0	0	0	4	0
ASV.1022	0	0	0	0	0	0	4	0
ASV.1023	0	0	0	0	0	0	4	0
ASV.1024	0	0	0	0	0	0	4	0
ASV.1026	0	0	0	0	0	0	4	0
ASV.1027	0	0	0	0	0	0	4	0
ASV.1028	0	0	0	0	0	0	4	0
ASV.1029	0	0	0	0	0	0	4	0
ASV.1030	0	0	0	0	0	0	0	4
ASV.1031	0	0	0	0	0	0	0	4
ASV.1032	0	0	0	0	0	0	0	4
ASV.1033	0	0	0	0	0	0	0	4
ASV.1034	0	0	0	0	0	0	0	4
ASV.1035	0	0	0	0	0	0	0	4
ASV.1036	0	0	0	0	0	0	0	4
ASV.1037	0	0	0	0	0	0	0	4
ASV.1038	0	0	0	0	0	0	0	4
ASV.1039	0	0	0	0	0	0	0	4
ASV.1040	0	0	0	0	0	0	0	4
ASV.1041	0	0	0	0	0	0	0	4
ASV.1042	0	0	0	0	0	0	0	4
ASV.1043	0	0	0	0	0	0	0	4
ASV.1044	0	0	0	0	0	0	0	4
ASV.1045	0	0	0	0	0	0	0	4
ASV.1046	0	0	0	0	0	0	0	4
ASV.1047	0	0	0	0	0	0	0	4
ASV.1048	0	0	0	0	0	0	0	4
ASV.1049	0	0	0	0	0	0	0	4
ASV.1050	0	0	0	0	0	0	0	4
ASV.1051	0	0	0	0	0	0	0	4
ASV.1052	0	0	0	0	0	0	0	4
ASV.1053	0	0	0	0	0	0	0	4
ASV.1054	0	0	0	0	0	0	0	4
ASV.1055	0	0	0	0	0	0	0	4
ASV.1056	0	0	0	0	0	0	0	4
ASV.1057	0	0	0	0	0	0	0	4
ASV.1058	0	0	0	0	0	0	0	4
ASV.1059	0	0	0	0	0	0	0	4
ASV.1060	0	0	0	0	0	0	0	4
ASV.1061	0	0	0	0	0	0	0	4
ASV.1062	0	0	0	0	0	0	0	4
ASV.1063	0	0	0	0	0	0	0	4
ASV.1064	0	0	0	0	0	0	0	4
ASV.1065	0	0	0	0	0	0	0	4
ASV.1066	3	0	0	0	0	0	0	0
ASV.1067	3	0	0	0	0	0	0	0
ASV.1068	3	0	0	0	0	0	0	0
ASV.1069	3	0	0	0	0	0	0	0
ASV.1071	3	0	0	0	0	0	0	0
ASV.1072	3	0	0	0	0	0	0	0
ASV.1073	3	0	0	0	0	0	0	0
ASV.1074	3	0	0	0	0	0	0	0
ASV.1075	3	0	0	0	0	0	0	0
ASV.1076	3	0	0	0	0	0	0	0
ASV.1077	3	0	0	0	0	0	0	0
ASV.1078	3	0	0	0	0	0	0	0
ASV.1080	3	0	0	0	0	0	0	0
ASV.1082	3	0	0	0	0	0	0	0
ASV.1083	3	0	0	0	0	0	0	0
ASV.1084	3	0	0	0	0	0	0	0
ASV.1085	3	0	0	0	0	0	0	0
ASV.1086	3	0	0	0	0	0	0	0
ASV.1087	3	0	0	0	0	0	0	0
ASV.1088	3	0	0	0	0	0	0	0
ASV.1089	3	0	0	0	0	0	0	0
ASV.1090	3	0	0	0	0	0	0	0
ASV.1092	3	0	0	0	0	0	0	0
ASV.1093	3	0	0	0	0	0	0	0
ASV.1094	3	0	0	0	0	0	0	0
ASV.1095	3	0	0	0	0	0	0	0
ASV.1096	3	0	0	0	0	0	0	0
ASV.1097	3	0	0	0	0	0	0	0
ASV.1098	3	0	0	0	0	0	0	0
ASV.1099	3	0	0	0	0	0	0	0
ASV.1100	3	0	0	0	0	0	0	0
ASV.1101	3	0	0	0	0	0	0	0
ASV.1102	3	0	0	0	0	0	0	0
ASV.1103	3	0	0	0	0	0	0	0
ASV.1104	3	0	0	0	0	0	0	0
ASV.1105	3	0	0	0	0	0	0	0
ASV.1106	3	0	0	0	0	0	0	0
ASV.1107	3	0	0	0	0	0	0	0
ASV.1109	3	0	0	0	0	0	0	0
ASV.1110	3	0	0	0	0	0	0	0
ASV.1111	3	0	0	0	0	0	0	0
ASV.1115	3	0	0	0	0	0	0	0
ASV.1116	3	0	0	0	0	0	0	0
ASV.1118	3	0	0	0	0	0	0	0
ASV.1120	3	0	0	0	0	0	0	0
ASV.1121	3	0	0	0	0	0	0	0
ASV.1122	3	0	0	0	0	0	0	0
ASV.1123	3	0	0	0	0	0	0	0
ASV.1126	3	0	0	0	0	0	0	0
ASV.1127	3	0	0	0	0	0	0	0
ASV.1128	3	0	0	0	0	0	0	0
ASV.1129	3	0	0	0	0	0	0	0
ASV.1130	3	0	0	0	0	0	0	0
ASV.1131	3	0	0	0	0	0	0	0
ASV.1132	3	0	0	0	0	0	0	0
ASV.1133	3	0	0	0	0	0	0	0
ASV.1134	3	0	0	0	0	0	0	0
ASV.1135	3	0	0	0	0	0	0	0
ASV.1136	3	0	0	0	0	0	0	0
ASV.1138	3	0	0	0	0	0	0	0
ASV.1140	3	0	0	0	0	0	0	0
ASV.1141	3	0	0	0	0	0	0	0
ASV.1142	3	0	0	0	0	0	0	0
ASV.1143	3	0	0	0	0	0	0	0
ASV.1144	3	0	0	0	0	0	0	0
ASV.1145	0	3	0	0	0	0	0	0
ASV.1146	0	3	0	0	0	0	0	0
ASV.1147	0	3	0	0	0	0	0	0
ASV.1148	0	3	0	0	0	0	0	0
ASV.1149	0	3	0	0	0	0	0	0
ASV.1150	0	0	3	0	0	0	0	0
ASV.1151	0	0	3	0	0	0	0	0
ASV.1152	0	0	3	0	0	0	0	0
ASV.1153	0	0	3	0	0	0	0	0
ASV.1154	0	0	3	0	0	0	0	0
ASV.1155	0	0	3	0	0	0	0	0
ASV.1156	0	0	3	0	0	0	0	0
ASV.1157	0	0	3	0	0	0	0	0
ASV.1158	0	0	3	0	0	0	0	0
ASV.1159	0	0	3	0	0	0	0	0
ASV.1160	0	0	3	0	0	0	0	0
ASV.1161	0	0	3	0	0	0	0	0
ASV.1162	0	0	3	0	0	0	0	0
ASV.1163	0	0	3	0	0	0	0	0
ASV.1164	0	0	3	0	0	0	0	0
ASV.1165	0	0	3	0	0	0	0	0
ASV.1166	0	0	3	0	0	0	0	0
ASV.1167	0	0	3	0	0	0	0	0
ASV.1168	0	0	3	0	0	0	0	0
ASV.1169	0	0	3	0	0	0	0	0
ASV.1170	0	0	3	0	0	0	0	0
ASV.1171	0	0	3	0	0	0	0	0
ASV.1172	0	0	3	0	0	0	0	0
ASV.1173	0	0	3	0	0	0	0	0
ASV.1174	0	0	3	0	0	0	0	0
ASV.1175	0	0	3	0	0	0	0	0
ASV.1176	0	0	3	0	0	0	0	0
ASV.1177	0	0	3	0	0	0	0	0
ASV.1178	0	0	3	0	0	0	0	0
ASV.1179	0	0	0	3	0	0	0	0
ASV.1180	0	0	0	3	0	0	0	0
ASV.1181	0	0	0	3	0	0	0	0
ASV.1182	0	0	0	3	0	0	0	0
ASV.1183	0	0	0	3	0	0	0	0
ASV.1184	0	0	0	3	0	0	0	0
ASV.1185	0	0	0	3	0	0	0	0
ASV.1186	0	0	0	3	0	0	0	0
ASV.1187	0	0	0	3	0	0	0	0
ASV.1188	0	0	0	3	0	0	0	0
ASV.1189	0	0	0	3	0	0	0	0
ASV.1190	0	0	0	3	0	0	0	0
ASV.1191	0	0	0	3	0	0	0	0
ASV.1192	0	0	0	3	0	0	0	0
ASV.1193	0	0	0	3	0	0	0	0
ASV.1194	0	0	0	3	0	0	0	0
ASV.1195	0	0	0	3	0	0	0	0
ASV.1196	0	0	0	3	0	0	0	0
ASV.1197	0	0	0	3	0	0	0	0
ASV.1198	0	0	0	3	0	0	0	0
ASV.1199	0	0	0	3	0	0	0	0
ASV.1200	0	0	0	3	0	0	0	0
ASV.1201	0	0	0	3	0	0	0	0
ASV.1202	0	0	0	3	0	0	0	0
ASV.1204	0	0	0	3	0	0	0	0
ASV.1205	0	0	0	3	0	0	0	0
ASV.1206	0	0	0	0	3	0	0	0
ASV.1207	0	0	0	0	3	0	0	0
ASV.1208	0	0	0	0	3	0	0	0
ASV.1209	0	0	0	0	3	0	0	0
ASV.1210	0	0	0	0	3	0	0	0
ASV.1211	0	0	0	0	3	0	0	0
ASV.1212	0	0	0	0	3	0	0	0
ASV.1213	0	0	0	0	3	0	0	0
ASV.1214	0	0	0	0	3	0	0	0
ASV.1215	0	0	0	0	3	0	0	0
ASV.1217	0	0	0	0	3	0	0	0
ASV.1218	0	0	0	0	3	0	0	0
ASV.1219	0	0	0	0	3	0	0	0
ASV.1220	0	0	0	0	3	0	0	0
ASV.1221	0	0	0	0	3	0	0	0
ASV.1222	0	0	0	0	3	0	0	0
ASV.1223	0	0	0	0	3	0	0	0
ASV.1224	0	0	0	0	3	0	0	0
ASV.1225	0	0	0	0	3	0	0	0
ASV.1226	0	0	0	0	3	0	0	0
ASV.1227	0	0	0	0	3	0	0	0
ASV.1228	0	0	0	0	3	0	0	0
ASV.1229	0	0	0	0	3	0	0	0
ASV.1230	0	0	0	0	3	0	0	0
ASV.1231	0	0	0	0	3	0	0	0
ASV.1232	0	0	0	0	3	0	0	0
ASV.1233	0	0	0	0	3	0	0	0
ASV.1234	0	0	0	0	3	0	0	0
ASV.1235	0	0	0	0	3	0	0	0
ASV.1236	0	0	0	0	3	0	0	0
ASV.1237	0	0	0	0	0	3	0	0
ASV.1238	0	0	0	0	0	3	0	0
ASV.1239	0	0	0	0	0	3	0	0
ASV.1240	0	0	0	0	0	3	0	0
ASV.1241	0	0	0	0	0	3	0	0
ASV.1242	0	0	0	0	0	3	0	0
ASV.1244	0	0	0	0	0	3	0	0
ASV.1245	0	0	0	0	0	3	0	0
ASV.1246	0	0	0	0	0	3	0	0
ASV.1247	0	0	0	0	0	3	0	0
ASV.1248	0	0	0	0	0	3	0	0
ASV.1249	0	0	0	0	0	3	0	0
ASV.1250	0	0	0	0	0	3	0	0
ASV.1251	0	0	0	0	0	3	0	0
ASV.1252	0	0	0	0	0	3	0	0
ASV.1253	0	0	0	0	0	3	0	0
ASV.1254	0	0	0	0	0	3	0	0
ASV.1255	0	0	0	0	0	3	0	0
ASV.1256	0	0	0	0	0	3	0	0
ASV.1257	0	0	0	0	0	3	0	0
ASV.1258	0	0	0	0	0	3	0	0
ASV.1259	0	0	0	0	0	3	0	0
ASV.1260	0	0	0	0	0	3	0	0
ASV.1261	0	0	0	0	0	3	0	0
ASV.1262	0	0	0	0	0	3	0	0
ASV.1263	0	0	0	0	0	3	0	0
ASV.1264	0	0	0	0	0	3	0	0
ASV.1265	0	0	0	0	0	3	0	0
ASV.1266	0	0	0	0	0	3	0	0
ASV.1267	0	0	0	0	0	3	0	0
ASV.1268	0	0	0	0	0	3	0	0
ASV.1269	0	0	0	0	0	3	0	0
ASV.1270	0	0	0	0	0	3	0	0
ASV.1271	0	0	0	0	0	3	0	0
ASV.1273	0	0	0	0	0	3	0	0
ASV.1274	0	0	0	0	0	3	0	0
ASV.1275	0	0	0	0	0	3	0	0
ASV.1276	0	0	0	0	0	0	3	0
ASV.1277	0	0	0	0	0	0	3	0
ASV.1278	0	0	0	0	0	0	3	0
ASV.1279	0	0	0	0	0	0	3	0
ASV.1280	0	0	0	0	0	0	3	0
ASV.1281	0	0	0	0	0	0	3	0
ASV.1282	0	0	0	0	0	0	3	0
ASV.1283	0	0	0	0	0	0	3	0
ASV.1284	0	0	0	0	0	0	3	0
ASV.1285	0	0	0	0	0	0	3	0
ASV.1286	0	0	0	0	0	0	3	0
ASV.1287	0	0	0	0	0	0	3	0
ASV.1288	0	0	0	0	0	0	3	0
ASV.1289	0	0	0	0	0	0	3	0
ASV.1290	0	0	0	0	0	0	3	0
ASV.1291	0	0	0	0	0	0	3	0
ASV.1292	0	0	0	0	0	0	3	0
ASV.1293	0	0	0	0	0	0	3	0
ASV.1294	0	0	0	0	0	0	3	0
ASV.1295	0	0	0	0	0	0	3	0
ASV.1296	0	0	0	0	0	0	3	0
ASV.1297	0	0	0	0	0	0	3	0
ASV.1298	0	0	0	0	0	0	3	0
ASV.1299	0	0	0	0	0	0	3	0
ASV.1300	0	0	0	0	0	0	3	0
ASV.1301	0	0	0	0	0	0	3	0
ASV.1302	0	0	0	0	0	0	3	0
ASV.1303	0	0	0	0	0	0	3	0
ASV.1304	0	0	0	0	0	0	3	0
ASV.1305	0	0	0	0	0	0	3	0
ASV.1306	0	0	0	0	0	0	3	0
ASV.1307	0	0	0	0	0	0	3	0
ASV.1308	0	0	0	0	0	0	3	0
ASV.1309	0	0	0	0	0	0	3	0
ASV.1310	0	0	0	0	0	0	3	0
ASV.1311	0	0	0	0	0	0	3	0
ASV.1312	0	0	0	0	0	0	3	0
ASV.1314	0	0	0	0	0	0	3	0
ASV.1315	0	0	0	0	0	0	3	0
ASV.1316	0	0	0	0	0	0	3	0
ASV.1317	0	0	0	0	0	0	3	0
ASV.1318	0	0	0	0	0	0	3	0
ASV.1319	0	0	0	0	0	0	3	0
ASV.1320	0	0	0	0	0	0	3	0
ASV.1321	0	0	0	0	0	0	3	0
ASV.1322	0	0	0	0	0	0	3	0
ASV.1323	0	0	0	0	0	0	3	0
ASV.1324	0	0	0	0	0	0	3	0
ASV.1325	0	0	0	0	0	0	3	0
ASV.1326	0	0	0	0	0	0	3	0
ASV.1327	0	0	0	0	0	0	0	3
ASV.1328	0	0	0	0	0	0	0	3
ASV.1329	0	0	0	0	0	0	0	3
ASV.1330	0	0	0	0	0	0	0	3
ASV.1331	0	0	0	0	0	0	0	3
ASV.1334	0	0	0	0	0	0	0	3
ASV.1335	0	0	0	0	0	0	0	3
ASV.1336	0	0	0	0	0	0	0	3
ASV.1337	0	0	0	0	0	0	0	3
ASV.1338	0	0	0	0	0	0	0	3
ASV.1339	0	0	0	0	0	0	0	3
ASV.1340	0	0	0	0	0	0	0	3
ASV.1341	0	0	0	0	0	0	0	3
ASV.1342	0	0	0	0	0	0	0	3
ASV.1343	0	0	0	0	0	0	0	3
ASV.1344	0	0	0	0	0	0	0	3
ASV.1345	0	0	0	0	0	0	0	3
ASV.1346	0	0	0	0	0	0	0	3
ASV.1347	0	0	0	0	0	0	0	3
ASV.1348	0	0	0	0	0	0	0	3
ASV.1349	0	0	0	0	0	0	0	3
ASV.1350	0	0	0	0	0	0	0	3
ASV.1351	0	0	0	0	0	0	0	3
ASV.1352	0	0	0	0	0	0	0	3
ASV.1354	0	0	0	0	0	0	0	3
ASV.1355	0	0	0	0	0	0	0	3
ASV.1356	0	0	0	0	0	0	0	3
ASV.1357	0	0	0	0	0	0	0	3
ASV.1358	0	0	0	0	0	0	0	3
ASV.1359	0	0	0	0	0	0	0	3
ASV.1360	0	0	0	0	0	0	0	3
ASV.1361	0	0	0	0	0	0	0	3
ASV.1362	0	0	0	0	0	0	0	3
ASV.1363	0	0	0	0	0	0	0	3
ASV.1364	0	0	0	0	0	0	0	3
ASV.1365	0	0	0	0	0	0	0	3
ASV.1366	0	0	0	0	0	0	0	3
ASV.1367	0	0	0	0	0	0	0	3
ASV.1368	0	0	0	0	0	0	0	3
ASV.1369	0	0	0	0	0	0	0	3
ASV.1370	0	0	0	0	0	0	0	3
ASV.1371	0	0	0	0	0	0	0	3
ASV.1372	0	0	0	0	0	0	0	3
ASV.1373	0	0	0	0	0	0	0	3
ASV.1374	0	0	0	0	0	0	0	3
ASV.1375	0	0	0	0	0	0	0	3
ASV.1377	0	0	0	0	0	0	0	3
ASV.1378	0	0	0	0	0	0	0	3
ASV.1379	0	0	0	0	0	0	0	3
ASV.1380	2	0	0	0	0	0	0	0
ASV.1381	2	0	0	0	0	0	0	0
ASV.1382	2	0	0	0	0	0	0	0
ASV.1383	2	0	0	0	0	0	0	0
ASV.1384	2	0	0	0	0	0	0	0
ASV.1385	2	0	0	0	0	0	0	0
ASV.1386	2	0	0	0	0	0	0	0
ASV.1387	2	0	0	0	0	0	0	0
ASV.1388	2	0	0	0	0	0	0	0
ASV.1389	2	0	0	0	0	0	0	0
ASV.1390	2	0	0	0	0	0	0	0
ASV.1391	2	0	0	0	0	0	0	0
ASV.1392	2	0	0	0	0	0	0	0
ASV.1393	2	0	0	0	0	0	0	0
ASV.1394	2	0	0	0	0	0	0	0
ASV.1395	2	0	0	0	0	0	0	0
ASV.1396	2	0	0	0	0	0	0	0
ASV.1397	2	0	0	0	0	0	0	0
ASV.1398	2	0	0	0	0	0	0	0
ASV.1399	2	0	0	0	0	0	0	0
ASV.1400	2	0	0	0	0	0	0	0
ASV.1401	2	0	0	0	0	0	0	0
ASV.1402	2	0	0	0	0	0	0	0
ASV.1403	2	0	0	0	0	0	0	0
ASV.1404	2	0	0	0	0	0	0	0
ASV.1405	2	0	0	0	0	0	0	0
ASV.1406	2	0	0	0	0	0	0	0
ASV.1407	2	0	0	0	0	0	0	0
ASV.1408	2	0	0	0	0	0	0	0
ASV.1409	2	0	0	0	0	0	0	0
ASV.1410	2	0	0	0	0	0	0	0
ASV.1411	2	0	0	0	0	0	0	0
ASV.1412	2	0	0	0	0	0	0	0
ASV.1413	2	0	0	0	0	0	0	0
ASV.1414	2	0	0	0	0	0	0	0
ASV.1415	2	0	0	0	0	0	0	0
ASV.1416	2	0	0	0	0	0	0	0
ASV.1417	2	0	0	0	0	0	0	0
ASV.1418	2	0	0	0	0	0	0	0
ASV.1419	2	0	0	0	0	0	0	0
ASV.1420	2	0	0	0	0	0	0	0
ASV.1421	2	0	0	0	0	0	0	0
ASV.1422	2	0	0	0	0	0	0	0
ASV.1423	2	0	0	0	0	0	0	0
ASV.1424	2	0	0	0	0	0	0	0
ASV.1425	2	0	0	0	0	0	0	0
ASV.1426	2	0	0	0	0	0	0	0
ASV.1427	2	0	0	0	0	0	0	0
ASV.1428	2	0	0	0	0	0	0	0
ASV.1429	2	0	0	0	0	0	0	0
ASV.1430	2	0	0	0	0	0	0	0
ASV.1431	2	0	0	0	0	0	0	0
ASV.1432	2	0	0	0	0	0	0	0
ASV.1433	2	0	0	0	0	0	0	0
ASV.1434	2	0	0	0	0	0	0	0
ASV.1435	2	0	0	0	0	0	0	0
ASV.1436	2	0	0	0	0	0	0	0
ASV.1437	2	0	0	0	0	0	0	0
ASV.1438	2	0	0	0	0	0	0	0
ASV.1439	2	0	0	0	0	0	0	0
ASV.1440	2	0	0	0	0	0	0	0
ASV.1441	2	0	0	0	0	0	0	0
ASV.1442	2	0	0	0	0	0	0	0
ASV.1443	2	0	0	0	0	0	0	0
ASV.1444	2	0	0	0	0	0	0	0
ASV.1445	2	0	0	0	0	0	0	0
ASV.1446	2	0	0	0	0	0	0	0
ASV.1447	2	0	0	0	0	0	0	0
ASV.1448	2	0	0	0	0	0	0	0
ASV.1450	2	0	0	0	0	0	0	0
ASV.1451	2	0	0	0	0	0	0	0
ASV.1452	2	0	0	0	0	0	0	0
ASV.1453	2	0	0	0	0	0	0	0
ASV.1454	2	0	0	0	0	0	0	0
ASV.1455	2	0	0	0	0	0	0	0
ASV.1456	2	0	0	0	0	0	0	0
ASV.1457	2	0	0	0	0	0	0	0
ASV.1458	2	0	0	0	0	0	0	0
ASV.1459	2	0	0	0	0	0	0	0
