Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.15	0	0	121	34	1637	0	0	0	0	59	0	1196	126	0	0	4043	0	580	901	646	0	0	4705	0	0	430	409	0	0	0	0	3113	453	0	0	0	0	0	484	0	0	0	0	2901	0	315	0	172	32	0	3607	0	191	0	0	789
ASV.16	2091	0	887	471	674	215	0	3417	0	1005	0	2123	1046	0	0	0	224	79	2095	0	0	0	0	0	73	444	1835	0	0	504	2012	0	0	0	0	0	0	0	416	140	0	0	0	1397	0	800	0	232	0	0	3663	0	0	0	0	388
ASV.17	0	0	0	0	1316	0	0	0	0	0	0	1105	1674	0	0	0	0	1567	358	0	2070	0	0	723	0	1176	1798	0	0	0	397	0	2855	0	0	0	0	0	718	0	0	0	0	0	0	1005	0	0	2595	0	0	0	3254	0	0	0
ASV.18	0	1272	0	0	155	37	24	0	1320	0	9	424	236	5	0	1877	0	13	228	83	23	154	394	0	0	19	246	0	4540	2196	21	23	8	37	0	2189	1176	7	23	66	9	0	285	17	0	180	60	252	13	687	38	0	47	0	36	1707
ASV.19	0	0	0	0	0	0	8734	0	0	0	0	0	0	52	0	0	0	0	0	441	1380	0	0	132	0	0	0	1289	0	0	0	0	38	0	1644	0	0	0	0	0	871	783	0	0	0	0	0	0	1589	0	0	0	0	0	2946	0
ASV.20	0	18	1805	0	3774	406	699	0	0	0	0	0	0	311	0	0	380	2146	0	685	711	0	0	331	0	2968	0	979	0	0	0	0	86	0	1285	0	0	0	0	687	1072	0	0	0	0	0	0	0	788	0	0	0	0	482	179	0
ASV.21	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	2475	0	0	0	0	0	7509	0	0	0	0	0	0	0	592	196	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	7469	0	0	0	0	0	0
ASV.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6013	0	0	0	0	0	0	0	0	0	0	0	0	0	3592	0	0	0	0	0	0	2323	4	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	5726
ASV.23	0	0	0	0	0	1813	1025	0	0	477	530	0	0	0	0	0	0	0	0	50	712	0	165	0	0	0	0	0	0	0	0	221	5165	191	0	0	0	1018	0	0	0	0	0	1186	0	0	1211	216	2438	0	0	0	954	0	0	0
ASV.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2704	0	0	0	0	0	13976	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.25	0	6746	0	0	0	0	0	0	1795	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	1775	0	0	0	0	0	2415	516	0	0	0	0	0	537	0	0	0	0	0	19	373	0	0	0	0	0	1248
ASV.26	0	0	100	252	425	0	389	0	0	0	8	123	3844	237	0	0	90	305	113	78	242	0	0	138	48	372	2819	169	0	0	206	57	0	39	202	0	0	0	72	1623	514	94	0	0	0	245	0	0	276	0	38	0	16	704	1610	0
ASV.27	0	0	0	0	0	0	1423	0	0	0	0	0	0	291	0	0	0	0	0	346	1951	0	0	2166	0	0	0	862	0	0	0	0	0	0	1152	0	0	0	0	40	163	4812	0	0	0	0	0	0	813	0	0	0	0	0	67	0
ASV.28	0	0	0	0	0	0	578	0	0	0	0	0	0	6787	0	0	0	0	0	0	654	0	0	571	0	0	0	349	0	0	0	0	0	0	1105	0	0	0	0	0	1010	1916	0	0	0	0	0	0	555	0	0	0	0	0	501	0
ASV.29	0	45	44	52	496	0	227	0	0	5	0	222	4948	74	0	0	33	105	155	139	131	0	0	77	0	135	3715	89	0	0	68	17	7	98	99	0	0	13	87	737	257	34	0	0	0	356	12	40	142	0	26	0	20	294	714	0
ASV.30	0	0	170	0	0	0	0	0	0	0	0	12217	0	120	0	0	0	0	0	0	0	0	0	242	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	201	0	0	0	0	0	0	0	0	0
ASV.31	0	0	0	0	0	0	2397	0	0	0	0	0	0	63	0	0	0	0	0	359	1889	0	0	64	0	0	0	2080	0	0	0	0	0	0	2585	0	0	0	0	0	0	243	0	0	0	0	0	0	1220	0	0	0	0	0	129	0
ASV.32	0	0	890	456	468	1190	0	0	0	0	0	0	411	0	0	0	390	0	0	0	0	0	0	0	0	319	3214	0	0	0	0	0	0	0	0	0	0	0	435	518	0	0	0	0	0	0	2464	0	93	0	0	0	0	0	0	0
ASV.33	3024	0	0	0	0	0	0	2199	0	0	0	0	0	0	4214	0	0	0	0	0	0	0	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.34	0	0	0	0	0	0	1687	0	0	0	0	0	0	55	0	0	0	0	0	782	1137	0	0	99	0	78	0	1349	0	0	0	0	0	0	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0
ASV.35	0	0	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	315	0	115	375	835	0	0	0	0	0	0	835	0	0	0	0	225	1046	0	0	0	0	0	0	301	407	0	0	0	0	298	2377	0
ASV.36	0	0	0	0	0	190	0	0	0	350	914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1592	0	0	0	0	1157	0	0	0	0	0	2115	0	0	0	0	472	0	0	0	71	0	0	0
ASV.37	0	0	0	0	0	0	0	0	0	0	0	0	1723	0	0	0	0	0	665	0	0	0	0	0	0	0	2241	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0
ASV.39	0	931	0	0	0	457	0	0	1019	5	66	13	0	0	0	104	0	0	0	184	8	0	0	0	0	0	0	0	0	12	14	8	17	14	0	580	675	0	0	0	0	0	0	1010	0	0	450	232	49	0	0	0	166	0	0	180
ASV.40	0	0	0	0	0	0	776	0	0	0	0	0	0	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	711	2424	0
ASV.41	0	0	0	2197	0	0	1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1697	0
ASV.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.43	0	1122	0	0	0	0	0	0	2552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV.44	0	910	0	0	0	0	0	0	1144	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	531	93	0	0	0	0	0	1966	0	0	0	0	0	0	24	0	0	0	0	0	0	22	0	0	0	0	0	197
ASV.45	0	0	0	0	0	458	0	0	0	0	0	0	0	1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	0	0	0	0	1013	1462	0
ASV.46	0	0	45	0	76	0	0	0	0	0	0	0	0	0	0	0	19	56	229	0	0	0	0	86	0	84	2427	20	0	0	0	1200	0	0	22	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	97	0	0	45	0	0
ASV.47	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	296	494	0	0	0	0	0	140	409	0	0	0	0	0	73	818	0	0	0	0	0	1435	54	0	0	0	0	0	0	423	0	0	0	0	0	99	0
ASV.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	672	0	0	0	0	0	509	397	0	0	0	0	0	1341	0	0	0	0	0	0	974	0
ASV.49	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	441	1965	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	0	0	0
ASV.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	1050
ASV.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3980	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.52	1188	0	0	0	0	0	0	1529	29	0	0	0	0	0	923	0	0	0	29	0	0	0	0	0	0	0	24	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0
ASV.53	0	0	0	0	0	286	236	0	0	0	0	0	0	300	0	0	0	0	0	0	816	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	696	0	0	0	0	0	0	315	0	0
ASV.54	0	0	285	124	391	0	0	0	0	0	0	949	0	118	0	0	0	486	0	0	0	0	0	230	0	803	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	182	0	0	0	0	0
ASV.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	0	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0	0	539	31	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	1160
ASV.56	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	1309	0	0	0	432	0	0	0	0	0	0	250	0	0	0	0	0	1076	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0
ASV.58	0	0	0	0	0	545	66	0	0	87	255	0	0	0	0	0	0	0	0	23	172	0	0	0	0	0	0	0	0	0	0	168	406	49	0	0	0	300	0	0	0	0	0	197	0	0	106	79	337	0	0	0	545	0	0	0
