DRR205311	DRR205312	DRR205313	DRR205314	DRR205315	DRR205316	DRR205317	DRR205318	DRR205319	DRR205320	DRR205321	DRR205322	DRR205323	DRR205324
ASV.89	0	0	0	0	134	0	0	0	19	47	0	0	11	0
ASV.92	0	0	0	0	0	0	0	206	0	0	0	0	0	0
ASV.93	205	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.94	0	0	0	0	0	0	0	0	0	205	0	0	0	0
ASV.95	202	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.96	0	0	0	0	16	0	0	9	51	29	0	7	31	55
ASV.98	193	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.99	0	0	0	0	0	0	0	185	0	0	0	0	0	0
ASV.100	180	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.101	179	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.104	0	0	168	0	0	0	0	0	0	0	0	0	0	0
ASV.105	0	0	0	0	0	0	0	0	0	0	164	0	0	0
ASV.107	0	0	0	0	0	0	0	13	0	148	0	0	0	0
ASV.108	0	0	0	0	16	0	0	0	41	22	0	0	21	58
ASV.109	0	0	0	0	155	0	0	0	0	0	0	0	0	0
ASV.110	149	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.112	0	0	0	0	20	0	0	17	0	45	0	14	18	32
ASV.113	0	0	0	0	0	0	0	0	0	0	0	0	146	0
ASV.114	145	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	0	144	0
ASV.117	135	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	0	132	0	0	0	0	0	0
ASV.120	0	0	0	0	0	28	0	0	0	0	0	0	101	0
ASV.121	0	0	0	0	0	0	0	0	0	0	0	0	0	129
ASV.122	0	0	0	0	52	0	0	0	0	74	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	0	0	0	126	0
ASV.125	0	0	0	0	77	0	0	13	0	0	0	0	0	34
ASV.126	0	0	0	0	29	0	0	29	43	9	0	0	13	0
ASV.127	0	0	0	0	38	0	0	0	0	7	0	0	37	41
ASV.129	0	0	0	0	120	0	0	0	0	0	0	0	0	0
ASV.132	0	0	109	0	0	0	0	0	0	0	0	0	0	0
ASV.133	104	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.134	0	0	0	0	0	0	0	0	0	0	103	0	0	0
ASV.135	0	0	0	0	0	0	0	99	0	0	0	0	0	0
ASV.136	98	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.137	0	0	97	0	0	0	0	0	0	0	0	0	0	0
ASV.139	0	0	0	0	0	0	0	0	0	0	0	0	95	0
