asvLen	totReads	numSamps
ASV.148	77	90	3
ASV.149	54	88	3
ASV.150	186	87	1
ASV.151	239	86	1
ASV.152	126	85	1
ASV.153	156	85	1
ASV.155	142	83	1
ASV.156	48	83	5
ASV.157	328	82	1
ASV.162	56	78	4
ASV.163	328	77	1
ASV.165	41	77	2
ASV.166	328	75	1
ASV.167	137	75	1
ASV.169	223	72	1
ASV.171	125	71	2
ASV.172	100	71	1
ASV.173	173	71	1
ASV.174	181	70	1
ASV.175	43	69	3
ASV.177	156	67	1
ASV.178	33	67	3
ASV.180	159	66	2
ASV.182	207	66	1
ASV.183	115	65	1
ASV.184	328	64	1
ASV.185	45	64	3
ASV.186	328	64	1
ASV.187	70	64	1
ASV.188	328	63	1
ASV.189	132	63	2
ASV.190	71	63	1
ASV.191	328	63	1
ASV.192	37	62	4
ASV.194	181	62	1
ASV.195	328	61	1
ASV.196	38	61	4
ASV.197	328	60	1
ASV.198	328	60	1
ASV.199	131	60	2
ASV.200	227	60	1
ASV.201	179	59	1
ASV.202	174	59	1
ASV.203	54	58	3
ASV.204	42	58	4
ASV.207	42	57	1
ASV.209	59	56	2
ASV.211	62	55	3
ASV.213	77	55	1
ASV.214	178	54	1
ASV.215	60	54	1
ASV.216	93	54	2
ASV.217	44	53	1
ASV.218	74	52	2
ASV.220	106	51	1
ASV.222	48	49	1
ASV.223	268	49	1
ASV.224	58	49	3
ASV.225	61	49	3
ASV.228	40	48	3
ASV.229	70	48	1
ASV.230	212	48	1
ASV.232	249	47	1
ASV.233	328	46	1
ASV.234	48	45	2
ASV.235	80	45	2
ASV.236	44	44	4
ASV.237	122	44	1
ASV.238	41	44	4
ASV.239	67	44	3
ASV.240	75	44	1
ASV.241	156	44	1
ASV.242	328	43	1
ASV.243	110	43	1
ASV.244	160	43	1
ASV.245	232	43	1
ASV.246	57	43	1
ASV.247	45	43	1
ASV.248	55	42	1
ASV.249	158	42	1
ASV.250	106	42	1
ASV.251	49	42	3
ASV.252	88	42	2
ASV.254	328	41	1
ASV.255	328	41	1
ASV.256	54	41	1
ASV.260	54	40	3
ASV.261	70	40	2
ASV.262	130	40	2
ASV.263	156	40	1
ASV.264	176	39	1
ASV.265	128	39	4
ASV.266	100	39	1
ASV.267	124	39	1
ASV.268	76	39	3
ASV.270	35	39	1
ASV.272	74	39	1
ASV.273	110	39	1
ASV.274	105	39	1
ASV.277	90	38	1
ASV.278	37	38	1
ASV.279	157	38	1
ASV.282	190	37	1
ASV.284	94	37	2
ASV.285	73	37	1
ASV.286	97	37	1
ASV.287	49	36	2
ASV.288	58	36	1
ASV.290	42	36	1
ASV.292	52	36	2
ASV.293	68	35	3
ASV.294	196	35	1
ASV.295	328	35	1
ASV.297	85	34	1
ASV.298	44	34	2
ASV.299	77	34	1
ASV.302	145	34	1
ASV.303	105	34	1
ASV.304	166	34	1
ASV.306	328	33	1
ASV.308	71	33	1
ASV.309	74	33	1
ASV.310	57	33	3
ASV.311	100	33	1
ASV.312	152	33	1
ASV.313	181	33	1
ASV.314	59	33	1
ASV.315	72	32	1
ASV.316	70	32	1
ASV.317	58	32	1
ASV.319	52	31	2
ASV.320	152	31	1
ASV.321	49	30	4
ASV.324	161	30	1
ASV.325	77	30	1
ASV.326	182	30	1
ASV.327	328	29	1
ASV.329	49	29	2
ASV.330	46	29	2
ASV.331	107	29	2
ASV.332	119	29	1
ASV.333	46	28	2
ASV.335	40	28	1
ASV.336	58	28	1
ASV.338	52	28	2
ASV.339	131	28	1
ASV.340	328	27	1
ASV.342	328	27	1
ASV.343	60	27	1
ASV.345	90	27	1
ASV.346	148	27	1
ASV.347	173	27	1
ASV.349	77	27	1
ASV.350	241	27	1
ASV.351	60	27	1
ASV.352	90	27	1
ASV.353	158	27	1
ASV.354	125	27	1
ASV.355	328	26	1
ASV.357	328	26	1
ASV.359	69	26	1
ASV.360	107	26	1
ASV.362	33	26	1
ASV.363	37	26	4
ASV.364	116	26	1
ASV.365	282	26	1
ASV.366	32	26	2
ASV.367	132	26	2
ASV.369	81	25	1
ASV.370	47	25	1
ASV.371	47	25	1
ASV.372	87	25	1
ASV.373	74	25	1
ASV.374	186	25	1
ASV.375	76	25	1
ASV.376	66	25	2
ASV.377	120	25	1
ASV.379	61	25	1
ASV.380	46	25	2
ASV.381	45	25	1
ASV.383	155	25	1
ASV.384	73	25	1
ASV.386	328	24	1
ASV.387	184	24	1
ASV.389	40	24	2
ASV.390	54	24	2
ASV.392	103	24	1
ASV.393	108	24	1
ASV.394	61	24	2
ASV.395	66	24	1
ASV.397	32	24	2
ASV.398	100	24	1
ASV.399	328	23	1
ASV.400	41	23	1
ASV.402	37	23	3
