asvLen	totReads	numSamps
ASV.1020	295	2	1
ASV.1021	172	2	1
ASV.1022	259	2	1
ASV.1023	301	2	1
ASV.1024	183	2	1
ASV.1025	141	2	1
ASV.1026	204	2	1
ASV.1027	221	2	1
ASV.1028	149	2	1
ASV.1029	165	2	1
ASV.1030	136	2	1
ASV.1036	160	2	1
ASV.1067	364	1	1
ASV.1071	284	1	1
