SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.142	0	0	0	0	0	0	0	0	0	0	0	0	0	168
ASV.143	0	163	0	0	0	0	0	0	0	0	0	0	0	0
ASV.144	0	0	0	0	0	161	0	0	0	0	0	0	0	0
ASV.146	0	0	0	0	0	40	0	0	0	0	0	0	0	120
ASV.147	0	0	0	0	0	0	0	0	0	0	0	0	0	157
ASV.148	0	0	0	0	0	0	0	0	0	0	0	0	0	156
ASV.149	0	155	0	0	0	0	0	0	0	0	0	0	0	0
ASV.150	0	0	0	154	0	0	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	154	0	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	153	0	0	0	0
ASV.154	0	0	0	0	0	148	0	0	0	0	0	0	0	0
ASV.156	0	0	0	0	0	0	0	0	0	0	0	0	0	146
ASV.157	0	0	0	0	0	0	0	0	0	0	0	145	0	0
ASV.158	0	0	0	0	0	0	0	0	0	144	0	0	0	0
ASV.159	0	0	0	120	0	23	0	0	0	0	0	0	0	0
ASV.160	0	0	0	0	0	0	0	141	0	0	0	0	0	0
ASV.161	0	0	0	0	0	0	0	0	0	141	0	0	0	0
ASV.162	112	0	0	0	2	0	0	0	26	0	0	0	0	0
ASV.163	0	0	0	0	0	0	0	140	0	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	0	0	138	0	0	0	0
ASV.166	0	0	0	0	0	137	0	0	0	0	0	0	0	0
ASV.168	0	0	0	0	0	134	0	0	0	0	0	0	0	0
ASV.169	0	0	0	0	0	134	0	0	0	0	0	0	0	0
ASV.170	0	0	0	133	0	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	0	130	0	0	0	0	0	0	0	0
ASV.174	0	0	0	0	0	122	0	0	0	0	0	0	0	7
ASV.175	0	0	0	0	0	129	0	0	0	0	0	0	0	0
ASV.176	0	0	0	0	0	0	0	0	0	0	0	0	0	129
ASV.178	0	0	0	0	0	127	0	0	0	0	0	0	0	0
ASV.179	0	0	0	0	0	13	0	0	0	113	0	0	0	0
ASV.181	0	0	0	0	0	13	0	0	0	0	111	0	0	0
ASV.182	0	0	0	0	0	0	0	123	0	0	0	0	0	0
ASV.183	0	0	0	0	0	0	0	0	0	0	0	0	0	123
ASV.184	0	0	0	0	0	0	0	0	0	0	0	0	0	123
ASV.186	0	0	0	0	0	122	0	0	0	0	0	0	0	0
ASV.187	58	0	0	0	0	0	0	0	61	0	0	0	0	0
ASV.188	0	0	0	0	0	119	0	0	0	0	0	0	0	0
ASV.189	0	0	0	0	0	0	0	119	0	0	0	0	0	0
ASV.191	0	0	0	0	0	0	0	0	0	116	0	0	0	0
ASV.192	0	0	0	0	0	113	0	0	0	0	0	0	0	0
ASV.195	0	0	0	108	0	0	0	0	0	0	0	0	0	0
ASV.196	0	0	0	0	0	108	0	0	0	0	0	0	0	0
ASV.197	0	0	0	0	0	108	0	0	0	0	0	0	0	0
ASV.199	0	0	0	0	0	107	0	0	0	0	0	0	0	0
ASV.202	0	0	0	0	0	0	26	57	0	21	0	0	0	0
ASV.203	0	0	0	0	0	0	0	103	0	0	0	0	0	0
ASV.206	0	0	0	0	0	101	0	0	0	0	0	0	0	0
ASV.207	0	0	0	0	0	99	0	0	0	0	0	0	0	0
ASV.209	0	0	0	0	0	22	0	0	0	76	0	0	0	0
ASV.210	0	0	0	0	0	97	0	0	0	0	0	0	0	0
ASV.211	0	0	0	96	0	0	0	0	0	0	0	0	0	0
ASV.212	0	0	0	0	0	96	0	0	0	0	0	0	0	0
ASV.213	0	0	0	0	0	48	0	0	0	48	0	0	0	0
ASV.214	0	0	0	0	0	0	0	46	0	0	0	0	0	50
ASV.215	0	0	0	0	0	0	0	96	0	0	0	0	0	0
ASV.216	0	0	95	0	0	0	0	0	0	0	0	0	0	0
ASV.217	94	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.219	0	0	0	0	0	0	0	0	0	94	0	0	0	0
ASV.221	0	0	0	0	0	0	0	0	0	0	0	93	0	0
ASV.222	0	0	0	0	0	55	0	0	0	0	0	0	0	37
ASV.223	0	31	7	8	15	0	30	0	0	0	0	0	0	0
ASV.224	29	0	0	0	0	0	0	0	60	0	0	0	0	0
ASV.225	0	0	0	0	0	5	0	0	0	0	0	0	0	84
ASV.226	0	0	0	0	0	0	0	0	0	0	0	0	0	89
ASV.227	0	0	0	0	0	0	0	0	0	87	0	0	0	0
ASV.229	0	0	0	0	0	0	86	0	0	0	0	0	0	0
ASV.231	0	0	0	0	0	0	0	0	0	86	0	0	0	0
ASV.233	0	0	0	0	0	0	0	0	0	0	0	0	0	84
ASV.234	0	68	0	15	0	0	0	0	0	0	0	0	0	0
ASV.236	0	0	0	0	0	0	0	0	0	0	0	0	0	83
ASV.237	0	0	0	82	0	0	0	0	0	0	0	0	0	0
ASV.238	0	0	0	0	0	82	0	0	0	0	0	0	0	0
