asvLen	totReads	numSamps
ASV.255	126	7	1
ASV.256	46	7	1
ASV.257	63	7	1
ASV.258	94	7	1
ASV.259	59	7	1
ASV.260	198	7	1
ASV.261	34	7	1
ASV.262	151	7	1
ASV.263	72	7	1
ASV.264	185	7	1
ASV.265	51	7	1
ASV.267	136	7	1
ASV.268	73	6	1
ASV.269	122	6	1
ASV.270	88	6	1
ASV.271	91	6	1
ASV.272	97	6	1
ASV.273	40	6	1
ASV.274	70	6	1
ASV.275	67	6	1
ASV.276	112	6	1
ASV.277	72	6	1
ASV.278	165	6	1
ASV.279	193	6	1
ASV.280	77	6	1
ASV.281	84	6	1
ASV.282	47	6	1
ASV.283	84	6	1
ASV.284	124	6	1
ASV.286	138	6	1
ASV.287	65	6	1
ASV.288	86	6	1
ASV.289	184	6	1
ASV.290	79	6	1
ASV.291	76	6	1
ASV.292	198	6	1
ASV.293	94	6	1
ASV.294	123	6	1
ASV.295	131	5	1
ASV.296	112	5	1
ASV.297	61	5	1
ASV.298	111	5	1
ASV.299	85	5	1
ASV.300	40	5	1
ASV.301	76	5	1
ASV.302	59	5	1
ASV.303	62	5	1
ASV.305	60	5	1
ASV.306	70	5	1
ASV.307	172	5	1
ASV.308	89	5	1
ASV.309	37	5	1
ASV.310	141	5	1
ASV.311	52	5	1
ASV.312	105	5	1
ASV.313	119	5	1
ASV.314	95	5	1
ASV.315	58	5	1
ASV.317	139	5	1
ASV.318	133	5	1
ASV.319	128	5	1
ASV.322	75	5	1
ASV.323	115	5	1
ASV.324	141	5	1
ASV.325	83	5	1
ASV.328	115	5	1
ASV.329	139	5	1
ASV.330	163	5	1
ASV.331	105	5	1
ASV.332	57	5	1
ASV.333	170	5	1
ASV.334	147	5	1
ASV.335	131	5	1
ASV.337	73	5	1
ASV.339	122	4	1
ASV.340	80	4	1
ASV.341	51	4	1
ASV.342	125	4	1
ASV.344	127	4	1
ASV.345	70	4	1
ASV.346	46	4	1
ASV.347	51	4	1
ASV.349	72	4	1
ASV.350	59	4	1
ASV.351	37	4	1
ASV.353	189	4	1
ASV.354	113	4	1
ASV.355	64	4	1
ASV.356	191	4	1
ASV.357	67	4	1
ASV.358	63	4	1
ASV.359	153	4	1
ASV.360	124	4	1
ASV.361	44	4	1
ASV.362	58	4	1
ASV.363	151	4	1
ASV.364	51	4	1
ASV.365	241	4	1
ASV.366	74	4	1
ASV.367	103	4	1
ASV.368	70	4	1
ASV.369	64	4	1
ASV.370	107	4	1
ASV.371	191	4	1
ASV.372	144	4	1
ASV.373	132	4	1
ASV.374	129	4	1
ASV.375	128	4	1
ASV.376	103	4	1
ASV.377	61	4	1
ASV.379	125	4	1
ASV.380	99	4	1
ASV.381	74	3	1
ASV.382	73	3	1
ASV.383	73	3	1
ASV.384	115	3	1
ASV.385	90	3	1
ASV.386	71	3	1
ASV.387	108	3	1
ASV.388	65	3	1
ASV.389	97	3	1
ASV.390	142	3	1
ASV.391	66	3	1
ASV.392	137	3	1
ASV.393	89	3	1
ASV.394	59	3	1
ASV.395	65	3	1
ASV.396	50	3	1
ASV.397	67	3	1
ASV.398	159	3	1
ASV.399	68	3	1
ASV.400	68	3	1
ASV.401	98	3	1
ASV.402	70	3	1
ASV.403	113	3	1
ASV.404	76	3	1
ASV.405	47	3	1
ASV.407	45	3	1
ASV.408	82	3	1
ASV.409	96	3	1
ASV.410	70	3	1
ASV.411	121	3	1
ASV.412	100	3	1
ASV.413	79	3	1
ASV.414	94	3	1
ASV.415	87	3	1
ASV.416	68	3	1
ASV.417	109	3	1
ASV.418	70	2	1
ASV.419	94	2	1
ASV.420	58	2	1
ASV.421	103	2	1
ASV.422	59	2	1
ASV.423	64	2	1
ASV.425	61	2	1
ASV.426	61	2	1
ASV.427	66	2	1
ASV.428	158	2	1
ASV.429	147	2	1
ASV.431	91	2	1
ASV.432	126	2	1
ASV.433	74	2	1
ASV.434	86	2	1
ASV.435	111	2	1
ASV.436	43	2	1
ASV.437	108	2	1
ASV.438	103	2	1
ASV.439	145	2	1
ASV.440	43	2	1
ASV.441	59	2	1
ASV.443	81	2	1
ASV.444	160	2	1
ASV.445	80	2	1
ASV.446	71	2	1
ASV.447	123	2	1
ASV.448	283	2	1
ASV.449	284	2	1
