SRR13612883	SRR13612884
ASV.140	14	0
ASV.141	0	14
ASV.142	0	14
ASV.143	8	5
ASV.144	13	0
ASV.145	13	0
ASV.146	13	0
ASV.147	13	0
ASV.148	13	0
ASV.149	13	0
ASV.150	13	0
ASV.151	13	0
ASV.153	13	0
ASV.154	0	13
ASV.155	0	13
ASV.156	0	13
ASV.157	0	13
ASV.158	0	13
ASV.159	12	0
ASV.161	12	0
ASV.162	12	0
ASV.163	12	0
ASV.164	0	12
ASV.165	0	12
ASV.166	0	12
ASV.167	0	12
ASV.168	0	12
ASV.169	0	12
ASV.170	0	12
ASV.172	0	12
ASV.173	11	0
ASV.174	11	0
ASV.175	11	0
ASV.176	11	0
ASV.177	11	0
ASV.178	11	0
ASV.179	11	0
ASV.180	11	0
ASV.181	11	0
ASV.182	11	0
ASV.183	11	0
ASV.184	11	0
ASV.185	11	0
ASV.186	0	11
ASV.187	0	11
ASV.188	0	11
ASV.189	0	11
ASV.190	0	11
ASV.191	0	11
ASV.192	10	0
ASV.193	10	0
ASV.194	10	0
ASV.195	10	0
ASV.197	10	0
ASV.198	10	0
ASV.199	10	0
ASV.200	0	10
ASV.201	0	10
ASV.202	0	10
ASV.203	0	10
ASV.205	9	0
ASV.206	9	0
ASV.207	9	0
ASV.208	9	0
ASV.209	9	0
ASV.210	9	0
ASV.211	0	9
ASV.212	0	9
ASV.214	0	9
ASV.215	8	0
ASV.216	8	0
ASV.217	8	0
ASV.218	8	0
ASV.219	8	0
ASV.220	8	0
ASV.221	8	0
ASV.222	8	0
ASV.223	8	0
ASV.224	8	0
ASV.225	8	0
ASV.226	8	0
ASV.227	8	0
ASV.228	8	0
ASV.229	0	8
ASV.230	0	8
ASV.231	0	8
ASV.233	0	8
ASV.235	0	8
ASV.236	0	8
ASV.237	0	8
ASV.238	0	8
ASV.239	0	8
ASV.240	0	8
ASV.241	0	8
ASV.242	7	0
ASV.243	7	0
ASV.244	7	0
ASV.245	7	0
ASV.246	7	0
ASV.247	7	0
ASV.248	7	0
ASV.249	7	0
ASV.251	0	7
ASV.252	0	7
ASV.253	0	7
ASV.254	0	7
ASV.255	0	7
ASV.256	0	7
ASV.257	0	7
ASV.258	0	7
ASV.259	0	7
ASV.260	0	7
ASV.261	0	7
ASV.262	0	7
ASV.263	0	7
ASV.264	0	7
ASV.265	0	7
ASV.267	0	7
ASV.268	6	0
ASV.269	6	0
ASV.270	6	0
ASV.271	6	0
ASV.272	6	0
ASV.273	6	0
ASV.274	6	0
ASV.275	6	0
ASV.276	6	0
ASV.277	6	0
ASV.278	6	0
ASV.279	6	0
ASV.280	6	0
ASV.281	6	0
ASV.282	0	6
ASV.283	0	6
ASV.284	0	6
ASV.286	0	6
ASV.287	0	6
ASV.288	0	6
ASV.289	0	6
ASV.290	0	6
ASV.291	0	6
ASV.292	0	6
ASV.293	0	6
ASV.294	0	6
ASV.295	5	0
ASV.296	5	0
ASV.297	5	0
ASV.298	5	0
ASV.299	5	0
ASV.300	5	0
ASV.301	5	0
ASV.302	5	0
ASV.303	5	0
ASV.305	5	0
ASV.306	5	0
ASV.307	0	5
ASV.308	0	5
ASV.309	0	5
ASV.310	0	5
ASV.311	0	5
ASV.312	0	5
ASV.313	0	5
ASV.314	0	5
ASV.315	0	5
ASV.317	0	5
ASV.318	0	5
ASV.319	0	5
ASV.322	0	5
ASV.323	0	5
ASV.324	0	5
ASV.325	0	5
ASV.328	0	5
ASV.329	0	5
ASV.330	0	5
ASV.331	0	5
ASV.332	0	5
ASV.333	0	5
ASV.334	0	5
ASV.335	0	5
ASV.337	0	5
ASV.339	4	0
ASV.340	4	0
ASV.341	4	0
ASV.342	4	0
ASV.344	4	0
ASV.345	4	0
ASV.346	4	0
ASV.347	4	0
ASV.349	4	0
ASV.350	4	0
ASV.351	4	0
ASV.353	0	4
ASV.354	0	4
ASV.355	0	4
ASV.356	0	4
ASV.357	0	4
ASV.358	0	4
ASV.359	0	4
ASV.360	0	4
ASV.361	0	4
ASV.362	0	4
ASV.363	0	4
ASV.364	0	4
ASV.365	0	4
ASV.366	0	4
ASV.367	0	4
ASV.368	0	4
ASV.369	0	4
ASV.370	0	4
ASV.371	0	4
ASV.372	0	4
ASV.373	0	4
ASV.374	0	4
ASV.375	0	4
ASV.376	0	4
ASV.377	0	4
ASV.379	0	4
ASV.380	0	4
ASV.381	3	0
ASV.382	3	0
ASV.383	3	0
ASV.384	3	0
ASV.385	3	0
ASV.386	3	0
ASV.387	3	0
ASV.388	3	0
ASV.389	0	3
ASV.390	0	3
ASV.391	0	3
ASV.392	0	3
ASV.393	0	3
ASV.394	0	3
